Match_col,Tms,Tce
RBBH-10078,Tms_TRINITY_DN58831_c0_g1_i1,Tce_TRINITY_DN94912_c8_g2_i1
RBBH-10079,Tms_TRINITY_DN19245_c0_g1_i1,Tce_TRINITY_DN94730_c0_g1_i1
RBBH-1008,Tms_TRINITY_DN25302_c0_g1_i1,Tce_TRINITY_DN92200_c0_g1_i1
RBBH-10080,Tms_TRINITY_DN31354_c1_g4_i1,Tce_TRINITY_DN95974_c0_g1_i1
RBBH-10082,Tms_TRINITY_DN33672_c0_g1_i1,Tce_TRINITY_DN94584_c0_g1_i1
RBBH-10083,Tms_TRINITY_DN60467_c0_g1_i1,Tce_TRINITY_DN96211_c0_g1_i2
RBBH-10084,Tms_TRINITY_DN31057_c0_g1_i1,Tce_TRINITY_DN103875_c3_g2_i2
RBBH-10085,Tms_TRINITY_DN29854_c0_g1_i1,Tce_TRINITY_DN96100_c0_g1_i1
RBBH-10086,Tms_TRINITY_DN15258_c0_g1_i1,Tce_TRINITY_DN100650_c0_g1_i1
RBBH-10087,Tms_TRINITY_DN24733_c0_g1_i2,Tce_TRINITY_DN100330_c0_g2_i2
RBBH-10088,Tms_TRINITY_DN47791_c0_g1_i1,Tce_TRINITY_DN100508_c2_g1_i1
RBBH-1009,Tms_TRINITY_DN30407_c0_g1_i1,Tce_TRINITY_DN97061_c0_g1_i1
RBBH-10090,Tms_TRINITY_DN67819_c0_g1_i1,Tce_TRINITY_DN94495_c0_g1_i1
RBBH-10092,Tms_TRINITY_DN18131_c0_g1_i1,Tce_TRINITY_DN99338_c0_g1_i1
RBBH-10093,Tms_TRINITY_DN8424_c0_g1_i1,Tce_TRINITY_DN66389_c0_g1_i1
RBBH-10094,Tms_TRINITY_DN55343_c0_g1_i1,Tce_TRINITY_DN82684_c0_g1_i1
RBBH-10095,Tms_TRINITY_DN29085_c1_g1_i1,Tce_TRINITY_DN91045_c0_g1_i1
RBBH-10096,Tms_TRINITY_DN18306_c0_g1_i1,Tce_TRINITY_DN93664_c0_g1_i1
RBBH-10097,Tms_TRINITY_DN5824_c0_g2_i1,Tce_TRINITY_DN88579_c1_g2_i1
RBBH-10098,Tms_TRINITY_DN5543_c0_g1_i1,Tce_TRINITY_DN103105_c0_g1_i1
RBBH-10099,Tms_TRINITY_DN67648_c0_g1_i1,Tce_TRINITY_DN68787_c0_g1_i1
RBBH-101,Tms_TRINITY_DN19555_c0_g1_i1,Tce_TRINITY_DN99245_c0_g1_i1
RBBH-1010,Tms_TRINITY_DN34504_c0_g1_i1,Tce_TRINITY_DN92524_c0_g1_i2
RBBH-10100,Tms_TRINITY_DN71241_c0_g1_i1,Tce_TRINITY_DN106828_c0_g2_i1
RBBH-10102,Tms_TRINITY_DN542_c0_g1_i1,Tce_TRINITY_DN95700_c0_g1_i1
RBBH-10103,Tms_TRINITY_DN22589_c0_g1_i1,Tce_TRINITY_DN16688_c0_g1_i1
RBBH-10104,Tms_TRINITY_DN19663_c0_g1_i1,Tce_TRINITY_DN89015_c0_g1_i2
RBBH-10105,Tms_TRINITY_DN4117_c0_g1_i1,Tce_TRINITY_DN57477_c0_g1_i1
RBBH-10106,Tms_TRINITY_DN31840_c0_g1_i2,Tce_TRINITY_DN105703_c1_g1_i7
RBBH-10107,Tms_TRINITY_DN10563_c0_g1_i1,Tce_TRINITY_DN102529_c2_g1_i1
RBBH-10108,Tms_TRINITY_DN30777_c1_g1_i1,Tce_TRINITY_DN105031_c3_g7_i3
RBBH-10109,Tms_TRINITY_DN27485_c0_g6_i1,Tce_TRINITY_DN13531_c0_g1_i1
RBBH-1011,Tms_TRINITY_DN55718_c0_g1_i1,Tce_TRINITY_DN101846_c0_g1_i1
RBBH-10110,Tms_TRINITY_DN40083_c0_g1_i1,Tce_TRINITY_DN101958_c0_g1_i1
RBBH-10111,Tms_TRINITY_DN26391_c0_g1_i1,Tce_TRINITY_DN107585_c0_g1_i2
RBBH-10112,Tms_TRINITY_DN64729_c0_g1_i1,Tce_TRINITY_DN105657_c1_g2_i1
RBBH-10114,Tms_TRINITY_DN14888_c0_g1_i1,Tce_TRINITY_DN106087_c9_g1_i1
RBBH-10115,Tms_TRINITY_DN3064_c0_g1_i1,Tce_TRINITY_DN102129_c0_g3_i4
RBBH-10116,Tms_TRINITY_DN29291_c0_g2_i1,Tce_TRINITY_DN100309_c3_g2_i1
RBBH-10117,Tms_TRINITY_DN6535_c0_g2_i1,Tce_TRINITY_DN101896_c0_g2_i1
RBBH-10118,Tms_TRINITY_DN20755_c0_g1_i2,Tce_TRINITY_DN84170_c0_g1_i1
RBBH-10119,Tms_TRINITY_DN30881_c3_g1_i4,Tce_TRINITY_DN102265_c5_g1_i1
RBBH-1012,Tms_TRINITY_DN30083_c0_g1_i1,Tce_TRINITY_DN99612_c2_g5_i1
RBBH-10120,Tms_TRINITY_DN22588_c0_g1_i1,Tce_TRINITY_DN107056_c4_g7_i2
RBBH-10121,Tms_TRINITY_DN31525_c6_g8_i3,Tce_TRINITY_DN94389_c2_g1_i1
RBBH-10122,Tms_TRINITY_DN31119_c1_g2_i1,Tce_TRINITY_DN106154_c0_g2_i1
RBBH-10123,Tms_TRINITY_DN31374_c9_g1_i1,Tce_TRINITY_DN101815_c1_g1_i3
RBBH-10124,Tms_TRINITY_DN17110_c1_g1_i1,Tce_TRINITY_DN106846_c3_g1_i1
RBBH-10125,Tms_TRINITY_DN22542_c0_g3_i1,Tce_TRINITY_DN103959_c0_g1_i1
RBBH-10126,Tms_TRINITY_DN58528_c0_g1_i1,Tce_TRINITY_DN106226_c6_g1_i1
RBBH-10127,Tms_TRINITY_DN68261_c0_g1_i1,Tce_TRINITY_DN101288_c1_g1_i1
RBBH-10128,Tms_TRINITY_DN19983_c0_g1_i1,Tce_TRINITY_DN106744_c0_g1_i3
RBBH-10129,Tms_TRINITY_DN26830_c3_g4_i1,Tce_TRINITY_DN103733_c3_g1_i1
RBBH-1013,Tms_TRINITY_DN37543_c0_g1_i1,Tce_TRINITY_DN81341_c0_g1_i2
RBBH-10130,Tms_TRINITY_DN32077_c0_g1_i1,Tce_TRINITY_DN102833_c0_g1_i2
RBBH-10131,Tms_TRINITY_DN58503_c1_g1_i1,Tce_TRINITY_DN106048_c1_g1_i1
RBBH-10132,Tms_TRINITY_DN63002_c0_g1_i1,Tce_TRINITY_DN83603_c0_g1_i1
RBBH-10134,Tms_TRINITY_DN28948_c0_g1_i1,Tce_TRINITY_DN100032_c0_g1_i1
RBBH-10135,Tms_TRINITY_DN10856_c0_g1_i1,Tce_TRINITY_DN90638_c0_g1_i1
RBBH-10136,Tms_TRINITY_DN55729_c0_g1_i1,Tce_TRINITY_DN95636_c0_g1_i1
RBBH-10137,Tms_TRINITY_DN30808_c0_g2_i1,Tce_TRINITY_DN101492_c2_g2_i1
RBBH-10138,Tms_TRINITY_DN29805_c0_g1_i1,Tce_TRINITY_DN101157_c1_g1_i3
RBBH-10139,Tms_TRINITY_DN64116_c0_g1_i1,Tce_TRINITY_DN84004_c0_g1_i1
RBBH-10140,Tms_TRINITY_DN5285_c0_g1_i1,Tce_TRINITY_DN101795_c0_g1_i1
RBBH-10141,Tms_TRINITY_DN9439_c1_g1_i1,Tce_TRINITY_DN94859_c0_g1_i2
RBBH-10142,Tms_TRINITY_DN41860_c0_g1_i1,Tce_TRINITY_DN83373_c0_g1_i1
RBBH-10143,Tms_TRINITY_DN25134_c0_g1_i1,Tce_TRINITY_DN107636_c5_g1_i1
RBBH-10144,Tms_TRINITY_DN30850_c0_g1_i1,Tce_TRINITY_DN104894_c3_g3_i1
RBBH-10145,Tms_TRINITY_DN70826_c0_g1_i1,Tce_TRINITY_DN99016_c0_g1_i1
RBBH-10146,Tms_TRINITY_DN9990_c0_g1_i1,Tce_TRINITY_DN22684_c0_g2_i1
RBBH-10147,Tms_TRINITY_DN66221_c0_g1_i1,Tce_TRINITY_DN91342_c0_g1_i1
RBBH-10148,Tms_TRINITY_DN47557_c0_g1_i1,Tce_TRINITY_DN94464_c0_g3_i1
RBBH-10149,Tms_TRINITY_DN9803_c0_g2_i1,Tce_TRINITY_DN97132_c2_g1_i1
RBBH-1015,Tms_TRINITY_DN17349_c0_g1_i1,Tce_TRINITY_DN90915_c0_g1_i1
RBBH-10150,Tms_TRINITY_DN71842_c0_g1_i1,Tce_TRINITY_DN42550_c0_g1_i1
RBBH-10153,Tms_TRINITY_DN18225_c0_g1_i1,Tce_TRINITY_DN89515_c0_g1_i2
RBBH-10154,Tms_TRINITY_DN27872_c1_g2_i1,Tce_TRINITY_DN106359_c2_g1_i1
RBBH-10156,Tms_TRINITY_DN31666_c0_g1_i8,Tce_TRINITY_DN106375_c0_g1_i7
RBBH-10157,Tms_TRINITY_DN22648_c0_g3_i1,Tce_TRINITY_DN96199_c0_g1_i1
RBBH-10158,Tms_TRINITY_DN6695_c0_g1_i1,Tce_TRINITY_DN80837_c0_g1_i1
RBBH-10159,Tms_TRINITY_DN3540_c0_g1_i1,Tce_TRINITY_DN92183_c2_g1_i1
RBBH-1016,Tms_TRINITY_DN31078_c3_g1_i1,Tce_TRINITY_DN41407_c0_g1_i1
RBBH-10160,Tms_TRINITY_DN5981_c0_g1_i1,Tce_TRINITY_DN71674_c0_g1_i1
RBBH-10161,Tms_TRINITY_DN14379_c0_g1_i1,Tce_TRINITY_DN80826_c0_g1_i1
RBBH-10162,Tms_TRINITY_DN31112_c5_g8_i2,Tce_TRINITY_DN100294_c6_g1_i1
RBBH-10163,Tms_TRINITY_DN42615_c0_g1_i1,Tce_TRINITY_DN95499_c6_g1_i1
RBBH-10164,Tms_TRINITY_DN28020_c0_g10_i1,Tce_TRINITY_DN97624_c1_g1_i1
RBBH-10165,Tms_TRINITY_DN57653_c0_g1_i1,Tce_TRINITY_DN103575_c0_g1_i1
RBBH-10166,Tms_TRINITY_DN14984_c0_g1_i1,Tce_TRINITY_DN105338_c1_g3_i3
RBBH-10167,Tms_TRINITY_DN15115_c0_g1_i1,Tce_TRINITY_DN96070_c0_g1_i2
RBBH-10168,Tms_TRINITY_DN28916_c0_g1_i1,Tce_TRINITY_DN87975_c0_g1_i1
RBBH-10169,Tms_TRINITY_DN8723_c0_g2_i1,Tce_TRINITY_DN93996_c0_g1_i3
RBBH-1017,Tms_TRINITY_DN74781_c0_g1_i1,Tce_TRINITY_DN103271_c0_g1_i1
RBBH-10170,Tms_TRINITY_DN12627_c0_g1_i1,Tce_TRINITY_DN103393_c2_g3_i3
RBBH-10171,Tms_TRINITY_DN76011_c0_g1_i1,Tce_TRINITY_DN69359_c0_g1_i1
RBBH-10172,Tms_TRINITY_DN62272_c0_g1_i1,Tce_TRINITY_DN133599_c0_g1_i1
RBBH-10174,Tms_TRINITY_DN30963_c5_g2_i1,Tce_TRINITY_DN102022_c2_g1_i3
RBBH-10176,Tms_TRINITY_DN50226_c0_g1_i1,Tce_TRINITY_DN81932_c0_g1_i1
RBBH-10177,Tms_TRINITY_DN30395_c0_g1_i2,Tce_TRINITY_DN106882_c1_g1_i4
RBBH-10178,Tms_TRINITY_DN37074_c0_g1_i1,Tce_TRINITY_DN99156_c0_g1_i1
RBBH-10179,Tms_TRINITY_DN21829_c0_g1_i1,Tce_TRINITY_DN107142_c0_g1_i2
RBBH-1018,Tms_TRINITY_DN26814_c0_g1_i1,Tce_TRINITY_DN85113_c0_g1_i1
RBBH-10180,Tms_TRINITY_DN53065_c0_g1_i1,Tce_TRINITY_DN75920_c1_g1_i1
RBBH-10181,Tms_TRINITY_DN44831_c0_g1_i1,Tce_TRINITY_DN84728_c0_g1_i1
RBBH-10182,Tms_TRINITY_DN31663_c0_g1_i1,Tce_TRINITY_DN106044_c0_g1_i1
RBBH-10183,Tms_TRINITY_DN49814_c0_g1_i1,Tce_TRINITY_DN67959_c0_g3_i1
RBBH-10184,Tms_TRINITY_DN74191_c0_g1_i1,Tce_TRINITY_DN81470_c0_g1_i1
RBBH-10185,Tms_TRINITY_DN17317_c0_g1_i1,Tce_TRINITY_DN104329_c0_g2_i1
RBBH-10186,Tms_TRINITY_DN16874_c0_g2_i1,Tce_TRINITY_DN93094_c0_g1_i2
RBBH-10188,Tms_TRINITY_DN40010_c0_g1_i1,Tce_TRINITY_DN36649_c0_g1_i1
RBBH-10189,Tms_TRINITY_DN5481_c0_g1_i1,Tce_TRINITY_DN107341_c7_g2_i1
RBBH-1019,Tms_TRINITY_DN31286_c7_g1_i1,Tce_TRINITY_DN106737_c5_g2_i1
RBBH-10190,Tms_TRINITY_DN3522_c0_g1_i1,Tce_TRINITY_DN105703_c0_g2_i1
RBBH-10191,Tms_TRINITY_DN4720_c0_g1_i1,Tce_TRINITY_DN95287_c0_g2_i1
RBBH-10192,Tms_TRINITY_DN27844_c0_g1_i1,Tce_TRINITY_DN105463_c0_g1_i1
RBBH-10193,Tms_TRINITY_DN11037_c0_g2_i1,Tce_TRINITY_DN100687_c0_g1_i1
RBBH-10194,Tms_TRINITY_DN56981_c0_g1_i1,Tce_TRINITY_DN88994_c0_g1_i1
RBBH-10195,Tms_TRINITY_DN17011_c0_g1_i1,Tce_TRINITY_DN92589_c0_g1_i1
RBBH-10196,Tms_TRINITY_DN34574_c0_g1_i1,Tce_TRINITY_DN98342_c1_g2_i1
RBBH-10199,Tms_TRINITY_DN21087_c0_g1_i1,Tce_TRINITY_DN104497_c1_g1_i1
RBBH-102,Tms_TRINITY_DN48410_c0_g1_i1,Tce_TRINITY_DN97857_c0_g1_i1
RBBH-1020,Tms_TRINITY_DN72014_c0_g1_i1,Tce_TRINITY_DN95328_c0_g1_i1
RBBH-10200,Tms_TRINITY_DN25167_c0_g1_i1,Tce_TRINITY_DN87589_c1_g1_i1
RBBH-10201,Tms_TRINITY_DN31254_c1_g1_i1,Tce_TRINITY_DN103982_c5_g1_i1
RBBH-10202,Tms_TRINITY_DN76338_c0_g1_i1,Tce_TRINITY_DN94540_c0_g1_i1
RBBH-10203,Tms_TRINITY_DN29027_c0_g1_i1,Tce_TRINITY_DN92795_c0_g2_i1
RBBH-10204,Tms_TRINITY_DN31133_c1_g10_i1,Tce_TRINITY_DN107389_c4_g2_i1
RBBH-10206,Tms_TRINITY_DN22676_c0_g1_i1,Tce_TRINITY_DN85806_c0_g1_i1
RBBH-10207,Tms_TRINITY_DN22461_c0_g1_i1,Tce_TRINITY_DN92744_c0_g3_i1
RBBH-10208,Tms_TRINITY_DN22003_c0_g1_i1,Tce_TRINITY_DN99160_c1_g1_i4
RBBH-10209,Tms_TRINITY_DN43863_c0_g1_i1,Tce_TRINITY_DN92365_c0_g1_i2
RBBH-1021,Tms_TRINITY_DN7294_c0_g1_i1,Tce_TRINITY_DN98375_c0_g1_i2
RBBH-10210,Tms_TRINITY_DN17049_c0_g1_i1,Tce_TRINITY_DN105939_c0_g3_i1
RBBH-10211,Tms_TRINITY_DN23509_c0_g1_i1,Tce_TRINITY_DN102594_c0_g1_i1
RBBH-10212,Tms_TRINITY_DN40125_c0_g1_i1,Tce_TRINITY_DN102167_c0_g1_i1
RBBH-10213,Tms_TRINITY_DN55546_c0_g1_i1,Tce_TRINITY_DN90470_c0_g1_i1
RBBH-10214,Tms_TRINITY_DN9929_c0_g1_i1,Tce_TRINITY_DN100104_c5_g3_i3
RBBH-10215,Tms_TRINITY_DN63109_c0_g1_i1,Tce_TRINITY_DN99061_c0_g1_i1
RBBH-10216,Tms_TRINITY_DN40457_c0_g1_i1,Tce_TRINITY_DN98552_c0_g1_i1
RBBH-10217,Tms_TRINITY_DN71031_c0_g1_i1,Tce_TRINITY_DN81393_c0_g1_i1
RBBH-10218,Tms_TRINITY_DN28162_c2_g1_i1,Tce_TRINITY_DN90320_c0_g1_i2
RBBH-10219,Tms_TRINITY_DN74142_c0_g1_i1,Tce_TRINITY_DN52226_c0_g1_i1
RBBH-1022,Tms_TRINITY_DN31441_c1_g24_i1,Tce_TRINITY_DN107576_c0_g2_i2
RBBH-10220,Tms_TRINITY_DN55860_c0_g1_i1,Tce_TRINITY_DN102807_c0_g1_i1
RBBH-10221,Tms_TRINITY_DN29904_c1_g8_i1,Tce_TRINITY_DN102876_c0_g1_i1
RBBH-10222,Tms_TRINITY_DN27865_c0_g1_i1,Tce_TRINITY_DN98258_c0_g1_i2
RBBH-10223,Tms_TRINITY_DN4274_c0_g1_i1,Tce_TRINITY_DN83877_c0_g1_i1
RBBH-10224,Tms_TRINITY_DN11363_c0_g2_i1,Tce_TRINITY_DN106566_c1_g6_i1
RBBH-10226,Tms_TRINITY_DN30543_c0_g1_i1,Tce_TRINITY_DN104411_c4_g1_i1
RBBH-10227,Tms_TRINITY_DN31714_c2_g5_i1,Tce_TRINITY_DN88226_c0_g1_i1
RBBH-10229,Tms_TRINITY_DN58467_c0_g1_i1,Tce_TRINITY_DN107013_c0_g1_i3
RBBH-1023,Tms_TRINITY_DN31741_c1_g1_i2,Tce_TRINITY_DN91585_c1_g1_i1
RBBH-10230,Tms_TRINITY_DN18156_c0_g1_i1,Tce_TRINITY_DN16536_c0_g1_i1
RBBH-10231,Tms_TRINITY_DN30822_c23_g1_i1,Tce_TRINITY_DN80839_c1_g1_i1
RBBH-10232,Tms_TRINITY_DN7354_c0_g2_i1,Tce_TRINITY_DN100850_c0_g1_i1
RBBH-10233,Tms_TRINITY_DN70786_c0_g1_i1,Tce_TRINITY_DN123118_c0_g1_i1
RBBH-10234,Tms_TRINITY_DN23304_c0_g2_i1,Tce_TRINITY_DN83967_c0_g1_i1
RBBH-10235,Tms_TRINITY_DN17813_c0_g3_i1,Tce_TRINITY_DN84452_c0_g1_i1
RBBH-10238,Tms_TRINITY_DN31285_c18_g1_i1,Tce_TRINITY_DN100406_c2_g2_i1
RBBH-10239,Tms_TRINITY_DN30910_c5_g1_i1,Tce_TRINITY_DN91151_c0_g1_i1
RBBH-1024,Tms_TRINITY_DN2439_c0_g1_i1,Tce_TRINITY_DN106274_c0_g2_i1
RBBH-10240,Tms_TRINITY_DN38896_c0_g1_i1,Tce_TRINITY_DN96880_c0_g1_i1
RBBH-10241,Tms_TRINITY_DN31345_c7_g4_i1,Tce_TRINITY_DN99692_c2_g3_i3
RBBH-10242,Tms_TRINITY_DN28964_c0_g1_i3,Tce_TRINITY_DN107343_c0_g1_i1
RBBH-10243,Tms_TRINITY_DN20993_c0_g1_i1,Tce_TRINITY_DN77475_c0_g1_i1
RBBH-10244,Tms_TRINITY_DN30795_c0_g1_i7,Tce_TRINITY_DN107295_c2_g1_i4
