OG_name,Tsi,Tge,Tpa,Tms,Tdi,Tps,Tcm,Tte,Tbi,Tce
OG-1007,Tsi_TRINITY_DN12473_c0_g1_i1,Tge_TRINITY_DN43163_c0_g1_i1,Tpa_TRINITY_DN130411_c0_g1_i1,Tms_TRINITY_DN12513_c0_g1_i1,Tdi_TRINITY_DN30748_c0_g2_i1,Tps_TRINITY_DN82584_c0_g1_i1,Tcm_TRINITY_DN96961_c0_g1_i1,Tte_TRINITY_DN7572_c0_g1_i1,Tbi_TRINITY_DN27076_c0_g1_i1,Tce_TRINITY_DN96464_c0_g1_i1
OG-1008,Tsi_TRINITY_DN31044_c4_g1_i2,Tge_TRINITY_DN47624_c1_g1_i1,Tpa_TRINITY_DN141672_c1_g1_i1,Tms_TRINITY_DN29650_c0_g1_i1,Tdi_TRINITY_DN31873_c2_g5_i1,Tps_TRINITY_DN94451_c0_g1_i4,Tcm_TRINITY_DN105742_c0_g2_i3,Tte_TRINITY_DN22031_c0_g6_i1,Tbi_TRINITY_DN70511_c0_g1_i1,Tce_TRINITY_DN94989_c0_g1_i1
OG-1009,Tsi_TRINITY_DN28988_c0_g2_i2,Tge_TRINITY_DN41207_c0_g2_i2,Tpa_TRINITY_DN139637_c2_g5_i2,Tms_TRINITY_DN25017_c0_g1_i1,Tdi_TRINITY_DN22787_c0_g1_i2,Tps_TRINITY_DN92656_c4_g1_i1,Tcm_TRINITY_DN104342_c2_g1_i1,Tte_TRINITY_DN29167_c9_g8_i1,Tbi_TRINITY_DN70195_c6_g2_i1,Tce_TRINITY_DN106960_c1_g1_i2
OG-101,Tsi_TRINITY_DN29756_c0_g1_i2,Tge_TRINITY_DN47238_c0_g1_i1,Tpa_TRINITY_DN141595_c1_g2_i2,Tms_TRINITY_DN24347_c0_g1_i2,Tdi_TRINITY_DN32168_c0_g1_i1,Tps_TRINITY_DN94912_c0_g1_i1,Tcm_TRINITY_DN105255_c0_g1_i1,Tte_TRINITY_DN30556_c0_g1_i1,Tbi_TRINITY_DN70054_c0_g1_i1,Tce_TRINITY_DN94275_c0_g1_i1
OG-1010,Tsi_TRINITY_DN19380_c0_g1_i1,Tge_TRINITY_DN7463_c0_g1_i1,Tpa_TRINITY_DN131304_c1_g1_i1,Tms_TRINITY_DN20728_c0_g1_i1,Tdi_TRINITY_DN14427_c0_g1_i1,Tps_TRINITY_DN62507_c0_g1_i1,Tcm_TRINITY_DN41170_c0_g1_i1,Tte_TRINITY_DN12551_c0_g1_i1,Tbi_TRINITY_DN62802_c0_g1_i1,Tce_TRINITY_DN81537_c0_g1_i1
OG-1011,Tsi_TRINITY_DN26243_c0_g2_i1,Tge_TRINITY_DN44139_c0_g1_i1,Tpa_TRINITY_DN122469_c0_g1_i1,Tms_TRINITY_DN13274_c0_g2_i1,Tdi_TRINITY_DN33247_c0_g1_i1,Tps_TRINITY_DN81790_c0_g1_i1,Tcm_TRINITY_DN88084_c0_g3_i1,Tte_TRINITY_DN56224_c0_g1_i1,Tbi_TRINITY_DN60212_c0_g1_i1,Tce_TRINITY_DN41082_c0_g1_i1
OG-1012,Tsi_TRINITY_DN19704_c0_g2_i2,Tge_TRINITY_DN18811_c0_g1_i1,Tpa_TRINITY_DN136379_c0_g2_i3,Tms_TRINITY_DN25835_c0_g2_i1,Tdi_TRINITY_DN19787_c0_g1_i1,Tps_TRINITY_DN90783_c0_g1_i4,Tcm_TRINITY_DN101482_c0_g1_i3,Tte_TRINITY_DN18854_c0_g1_i1,Tbi_TRINITY_DN72104_c3_g2_i1,Tce_TRINITY_DN106549_c1_g1_i1
OG-1013,Tsi_TRINITY_DN4087_c0_g1_i1,Tge_TRINITY_DN47623_c3_g3_i1,Tpa_TRINITY_DN138761_c2_g1_i1,Tms_TRINITY_DN30393_c4_g1_i1,Tdi_TRINITY_DN31371_c2_g1_i1,Tps_TRINITY_DN89063_c0_g1_i2,Tcm_TRINITY_DN98657_c0_g2_i2,Tte_TRINITY_DN3685_c0_g1_i1,Tbi_TRINITY_DN71713_c15_g1_i2,Tce_TRINITY_DN56585_c0_g1_i1
OG-1014,Tsi_TRINITY_DN31103_c1_g5_i1,Tge_TRINITY_DN47821_c2_g1_i1,Tpa_TRINITY_DN143189_c7_g1_i1,Tms_TRINITY_DN2959_c0_g1_i1,Tdi_TRINITY_DN31618_c1_g5_i3,Tps_TRINITY_DN89295_c1_g1_i2,Tcm_TRINITY_DN100895_c4_g1_i1,Tte_TRINITY_DN29392_c8_g19_i1,Tbi_TRINITY_DN67385_c16_g2_i1,Tce_TRINITY_DN100296_c3_g8_i4
OG-1015,Tsi_TRINITY_DN19139_c0_g3_i1,Tge_TRINITY_DN39579_c0_g1_i2,Tpa_TRINITY_DN134783_c0_g1_i1,Tms_TRINITY_DN28114_c0_g1_i1,Tdi_TRINITY_DN26232_c0_g1_i4,Tps_TRINITY_DN90133_c0_g1_i5,Tcm_TRINITY_DN99373_c0_g1_i4,Tte_TRINITY_DN17006_c0_g2_i1,Tbi_TRINITY_DN66828_c0_g1_i1,Tce_TRINITY_DN107438_c0_g1_i2
OG-1016,Tsi_TRINITY_DN7732_c0_g1_i1,Tge_TRINITY_DN10554_c0_g1_i1,Tpa_TRINITY_DN140933_c0_g1_i1,Tms_TRINITY_DN23490_c0_g1_i1,Tdi_TRINITY_DN23737_c0_g1_i1,Tps_TRINITY_DN84247_c0_g1_i1,Tcm_TRINITY_DN92961_c0_g1_i1,Tte_TRINITY_DN10528_c0_g2_i1,Tbi_TRINITY_DN67932_c0_g1_i1,Tce_TRINITY_DN95130_c0_g1_i1
OG-1017,Tsi_TRINITY_DN213_c0_g1_i1,Tge_TRINITY_DN32800_c0_g1_i1,Tpa_TRINITY_DN134096_c0_g1_i1,Tms_TRINITY_DN19375_c0_g1_i1,Tdi_TRINITY_DN29398_c0_g1_i2,Tps_TRINITY_DN77105_c0_g2_i1,Tcm_TRINITY_DN99183_c0_g1_i1,Tte_TRINITY_DN6525_c0_g2_i1,Tbi_TRINITY_DN44157_c0_g1_i1,Tce_TRINITY_DN93237_c0_g1_i1
OG-1018,Tsi_TRINITY_DN2483_c0_g1_i1,Tge_TRINITY_DN37452_c0_g1_i1,Tpa_TRINITY_DN120366_c0_g1_i1,Tms_TRINITY_DN29396_c0_g2_i1,Tdi_TRINITY_DN52754_c1_g1_i1,Tps_TRINITY_DN89503_c5_g1_i1,Tcm_TRINITY_DN88090_c0_g1_i3,Tte_TRINITY_DN9456_c0_g1_i1,Tbi_TRINITY_DN42648_c0_g1_i1,Tce_TRINITY_DN81603_c0_g1_i1
OG-1019,Tsi_TRINITY_DN28924_c0_g1_i1,Tge_TRINITY_DN44220_c0_g1_i1,Tpa_TRINITY_DN113369_c0_g1_i1,Tms_TRINITY_DN31741_c3_g7_i4,Tdi_TRINITY_DN28380_c0_g1_i1,Tps_TRINITY_DN86357_c0_g1_i1,Tcm_TRINITY_DN97374_c0_g1_i2,Tte_TRINITY_DN24447_c0_g1_i1,Tbi_TRINITY_DN25108_c0_g1_i1,Tce_TRINITY_DN80853_c0_g1_i2
OG-102,Tsi_TRINITY_DN21670_c0_g1_i1,Tge_TRINITY_DN37289_c0_g1_i1,Tpa_TRINITY_DN138416_c0_g2_i2,Tms_TRINITY_DN27806_c0_g1_i2,Tdi_TRINITY_DN16285_c0_g1_i1,Tps_TRINITY_DN90795_c0_g1_i1,Tcm_TRINITY_DN100524_c0_g1_i2,Tte_TRINITY_DN22971_c0_g1_i1,Tbi_TRINITY_DN59549_c0_g1_i2,Tce_TRINITY_DN104522_c0_g1_i2
OG-1020,Tsi_TRINITY_DN29849_c0_g2_i2,Tge_TRINITY_DN41834_c0_g1_i2,Tpa_TRINITY_DN139578_c1_g1_i1,Tms_TRINITY_DN26886_c0_g1_i2,Tdi_TRINITY_DN19923_c0_g1_i1,Tps_TRINITY_DN90993_c0_g1_i1,Tcm_TRINITY_DN100777_c0_g1_i2,Tte_TRINITY_DN14985_c0_g1_i1,Tbi_TRINITY_DN61704_c0_g1_i3,Tce_TRINITY_DN98830_c0_g1_i2
OG-1021,Tsi_TRINITY_DN2706_c0_g1_i1,Tge_TRINITY_DN34449_c0_g2_i1,Tpa_TRINITY_DN115893_c0_g1_i1,Tms_TRINITY_DN6367_c0_g2_i1,Tdi_TRINITY_DN6112_c0_g2_i1,Tps_TRINITY_DN47747_c0_g1_i1,Tcm_TRINITY_DN87486_c0_g2_i1,Tte_TRINITY_DN12885_c0_g1_i1,Tbi_TRINITY_DN25645_c0_g1_i1,Tce_TRINITY_DN79114_c0_g2_i1
OG-1022,Tsi_TRINITY_DN14168_c0_g1_i1,Tge_TRINITY_DN25128_c0_g1_i1,Tpa_TRINITY_DN129962_c0_g1_i1,Tms_TRINITY_DN23574_c0_g1_i1,Tdi_TRINITY_DN30510_c0_g1_i1,Tps_TRINITY_DN90516_c1_g1_i2,Tcm_TRINITY_DN98924_c0_g1_i2,Tte_TRINITY_DN20021_c0_g2_i1,Tbi_TRINITY_DN26041_c0_g1_i1,Tce_TRINITY_DN90501_c0_g1_i1
OG-1023,Tsi_TRINITY_DN29887_c0_g1_i1,Tge_TRINITY_DN46992_c7_g4_i1,Tpa_TRINITY_DN135141_c1_g1_i1,Tms_TRINITY_DN35683_c0_g1_i1,Tdi_TRINITY_DN16428_c0_g1_i1,Tps_TRINITY_DN92027_c3_g1_i1,Tcm_TRINITY_DN100464_c0_g1_i1,Tte_TRINITY_DN24743_c0_g1_i1,Tbi_TRINITY_DN71667_c0_g1_i10,Tce_TRINITY_DN101463_c0_g1_i1
OG-1024,Tsi_TRINITY_DN21676_c0_g1_i2,Tge_TRINITY_DN44007_c0_g1_i1,Tpa_TRINITY_DN122682_c0_g1_i1,Tms_TRINITY_DN63917_c0_g2_i1,Tdi_TRINITY_DN20801_c0_g1_i2,Tps_TRINITY_DN71192_c0_g1_i1,Tcm_TRINITY_DN96997_c0_g1_i2,Tte_TRINITY_DN2554_c0_g2_i1,Tbi_TRINITY_DN64269_c0_g1_i1,Tce_TRINITY_DN92069_c0_g1_i1
OG-1025,Tsi_TRINITY_DN31321_c12_g3_i1,Tge_TRINITY_DN46848_c5_g6_i3,Tpa_TRINITY_DN127894_c9_g13_i1,Tms_TRINITY_DN30448_c2_g2_i1,Tdi_TRINITY_DN32216_c4_g2_i4,Tps_TRINITY_DN70412_c0_g1_i1,Tcm_TRINITY_DN103491_c3_g1_i3,Tte_TRINITY_DN26277_c0_g6_i2,Tbi_TRINITY_DN59881_c0_g1_i2,Tce_TRINITY_DN105034_c1_g2_i1
OG-1026,Tsi_TRINITY_DN5453_c0_g1_i1,Tge_TRINITY_DN42797_c0_g2_i3,Tpa_TRINITY_DN134254_c0_g1_i1,Tms_TRINITY_DN24823_c0_g1_i1,Tdi_TRINITY_DN31364_c0_g1_i2,Tps_TRINITY_DN90846_c0_g3_i1,Tcm_TRINITY_DN96929_c0_g1_i2,Tte_TRINITY_DN26943_c1_g3_i2,Tbi_TRINITY_DN69656_c0_g1_i3,Tce_TRINITY_DN98320_c0_g1_i1
OG-1027,Tsi_TRINITY_DN6997_c0_g1_i1,Tge_TRINITY_DN36093_c0_g1_i1,Tpa_TRINITY_DN133089_c2_g1_i1,Tms_TRINITY_DN28670_c0_g1_i1,Tdi_TRINITY_DN31571_c0_g1_i2,Tps_TRINITY_DN94120_c0_g1_i2,Tcm_TRINITY_DN105542_c0_g1_i1,Tte_TRINITY_DN18230_c0_g1_i1,Tbi_TRINITY_DN71981_c11_g19_i2,Tce_TRINITY_DN100313_c0_g1_i2
OG-1028,Tsi_TRINITY_DN23962_c0_g1_i1,Tge_TRINITY_DN34332_c0_g1_i1,Tpa_TRINITY_DN128486_c0_g1_i4,Tms_TRINITY_DN7664_c0_g2_i1,Tdi_TRINITY_DN7406_c0_g1_i1,Tps_TRINITY_DN90419_c0_g1_i4,Tcm_TRINITY_DN97618_c0_g1_i1,Tte_TRINITY_DN29615_c14_g1_i1,Tbi_TRINITY_DN66282_c0_g1_i4,Tce_TRINITY_DN94625_c0_g1_i2
OG-1029,Tsi_TRINITY_DN9325_c0_g1_i1,Tge_TRINITY_DN67628_c0_g1_i1,Tpa_TRINITY_DN128663_c0_g1_i2,Tms_TRINITY_DN22693_c0_g1_i2,Tdi_TRINITY_DN63760_c0_g1_i1,Tps_TRINITY_DN75392_c0_g1_i1,Tcm_TRINITY_DN82153_c1_g1_i1,Tte_TRINITY_DN51935_c0_g1_i1,Tbi_TRINITY_DN1968_c0_g1_i1,Tce_TRINITY_DN99533_c0_g1_i1
OG-103,Tsi_TRINITY_DN18652_c0_g1_i1,Tge_TRINITY_DN46965_c0_g1_i1,Tpa_TRINITY_DN143130_c0_g1_i1,Tms_TRINITY_DN30427_c0_g1_i1,Tdi_TRINITY_DN26476_c0_g1_i2,Tps_TRINITY_DN94945_c0_g2_i4,Tcm_TRINITY_DN107324_c1_g1_i2,Tte_TRINITY_DN1725_c0_g2_i1,Tbi_TRINITY_DN70872_c0_g1_i1,Tce_TRINITY_DN107495_c0_g1_i2
OG-1030,Tsi_TRINITY_DN21138_c0_g1_i1,Tge_TRINITY_DN45854_c0_g1_i1,Tpa_TRINITY_DN129715_c0_g1_i1,Tms_TRINITY_DN25420_c0_g1_i2,Tdi_TRINITY_DN15443_c0_g1_i1,Tps_TRINITY_DN81828_c0_g1_i1,Tcm_TRINITY_DN81197_c0_g1_i2,Tte_TRINITY_DN29513_c0_g5_i1,Tbi_TRINITY_DN71835_c0_g2_i4,Tce_TRINITY_DN90151_c0_g1_i1
OG-1031,Tsi_TRINITY_DN29779_c0_g1_i1,Tge_TRINITY_DN38427_c0_g1_i1,Tpa_TRINITY_DN135277_c0_g1_i1,Tms_TRINITY_DN34417_c0_g1_i1,Tdi_TRINITY_DN68734_c0_g1_i1,Tps_TRINITY_DN31550_c0_g2_i1,Tcm_TRINITY_DN87531_c0_g1_i1,Tte_TRINITY_DN32057_c0_g1_i1,Tbi_TRINITY_DN64734_c0_g1_i1,Tce_TRINITY_DN81960_c0_g1_i1
OG-1032,Tsi_TRINITY_DN11689_c0_g1_i1,Tge_TRINITY_DN34387_c0_g1_i1,Tpa_TRINITY_DN134586_c0_g1_i1,Tms_TRINITY_DN33186_c0_g1_i1,Tdi_TRINITY_DN60238_c0_g1_i1,Tps_TRINITY_DN93204_c2_g1_i1,Tcm_TRINITY_DN102028_c0_g1_i1,Tte_TRINITY_DN21709_c0_g1_i1,Tbi_TRINITY_DN54390_c0_g2_i1,Tce_TRINITY_DN92738_c0_g1_i1
OG-1033,Tsi_TRINITY_DN25978_c0_g1_i1,Tge_TRINITY_DN31556_c0_g1_i1,Tpa_TRINITY_DN136610_c0_g2_i1,Tms_TRINITY_DN24474_c0_g1_i1,Tdi_TRINITY_DN30877_c0_g1_i1,Tps_TRINITY_DN92002_c0_g2_i2,Tcm_TRINITY_DN104638_c0_g1_i1,Tte_TRINITY_DN61228_c0_g1_i1,Tbi_TRINITY_DN69073_c0_g1_i1,Tce_TRINITY_DN91947_c0_g1_i1
OG-1034,Tsi_TRINITY_DN30925_c0_g1_i2,Tge_TRINITY_DN40697_c0_g1_i1,Tpa_TRINITY_DN139938_c0_g1_i2,Tms_TRINITY_DN2145_c0_g2_i1,Tdi_TRINITY_DN11631_c0_g1_i1,Tps_TRINITY_DN85125_c0_g1_i1,Tcm_TRINITY_DN103064_c0_g1_i1,Tte_TRINITY_DN21113_c0_g1_i1,Tbi_TRINITY_DN68414_c0_g1_i1,Tce_TRINITY_DN101109_c0_g1_i1
OG-1035,Tsi_TRINITY_DN27531_c0_g1_i1,Tge_TRINITY_DN37132_c0_g1_i1,Tpa_TRINITY_DN121871_c0_g1_i1,Tms_TRINITY_DN70842_c0_g1_i1,Tdi_TRINITY_DN31739_c0_g1_i2,Tps_TRINITY_DN93688_c0_g2_i2,Tcm_TRINITY_DN102559_c1_g1_i1,Tte_TRINITY_DN2565_c0_g2_i1,Tbi_TRINITY_DN26005_c0_g2_i1,Tce_TRINITY_DN94019_c0_g1_i1
OG-1036,Tsi_TRINITY_DN27132_c0_g2_i3,Tge_TRINITY_DN44466_c0_g1_i3,Tpa_TRINITY_DN128226_c0_g1_i1,Tms_TRINITY_DN27563_c0_g1_i2,Tdi_TRINITY_DN22892_c0_g1_i2,Tps_TRINITY_DN78690_c0_g1_i2,Tcm_TRINITY_DN90699_c0_g1_i2,Tte_TRINITY_DN28018_c0_g2_i1,Tbi_TRINITY_DN69456_c0_g1_i5,Tce_TRINITY_DN95923_c0_g1_i4
OG-1037,Tsi_TRINITY_DN20217_c0_g1_i1,Tge_TRINITY_DN29684_c0_g1_i1,Tpa_TRINITY_DN123855_c0_g1_i1,Tms_TRINITY_DN9590_c0_g2_i1,Tdi_TRINITY_DN2898_c0_g2_i1,Tps_TRINITY_DN53225_c0_g1_i1,Tcm_TRINITY_DN99134_c0_g2_i1,Tte_TRINITY_DN2810_c0_g2_i1,Tbi_TRINITY_DN52557_c0_g1_i1,Tce_TRINITY_DN84473_c0_g1_i2
OG-1038,Tsi_TRINITY_DN46058_c0_g1_i1,Tge_TRINITY_DN39552_c0_g1_i1,Tpa_TRINITY_DN138863_c0_g1_i1,Tms_TRINITY_DN20616_c0_g1_i1,Tdi_TRINITY_DN21161_c0_g1_i1,Tps_TRINITY_DN86849_c0_g2_i1,Tcm_TRINITY_DN101196_c2_g1_i4,Tte_TRINITY_DN29878_c5_g1_i1,Tbi_TRINITY_DN55968_c0_g1_i2,Tce_TRINITY_DN100771_c0_g1_i1
OG-1039,Tsi_TRINITY_DN22499_c0_g1_i3,Tge_TRINITY_DN66471_c0_g1_i1,Tpa_TRINITY_DN118916_c0_g1_i1,Tms_TRINITY_DN25807_c0_g1_i2,Tdi_TRINITY_DN12975_c0_g2_i1,Tps_TRINITY_DN48160_c0_g1_i1,Tcm_TRINITY_DN784_c0_g2_i1,Tte_TRINITY_DN56946_c0_g1_i1,Tbi_TRINITY_DN33718_c0_g1_i1,Tce_TRINITY_DN25211_c0_g1_i1
OG-104,Tsi_TRINITY_DN20659_c0_g1_i1,Tge_TRINITY_DN36809_c0_g1_i2,Tpa_TRINITY_DN139765_c0_g1_i2,Tms_TRINITY_DN26034_c0_g2_i1,Tdi_TRINITY_DN29819_c0_g1_i1,Tps_TRINITY_DN94024_c1_g1_i1,Tcm_TRINITY_DN99128_c0_g1_i3,Tte_TRINITY_DN20976_c0_g1_i2,Tbi_TRINITY_DN68094_c0_g1_i1,Tce_TRINITY_DN103233_c0_g1_i1
OG-1040,Tsi_TRINITY_DN26257_c0_g1_i1,Tge_TRINITY_DN45974_c0_g1_i1,Tpa_TRINITY_DN135307_c0_g1_i2,Tms_TRINITY_DN29636_c1_g1_i7,Tdi_TRINITY_DN25493_c0_g1_i1,Tps_TRINITY_DN90021_c2_g1_i4,Tcm_TRINITY_DN96668_c0_g1_i1,Tte_TRINITY_DN23126_c0_g1_i2,Tbi_TRINITY_DN67326_c0_g1_i2,Tce_TRINITY_DN105112_c0_g1_i8
OG-1041,Tsi_TRINITY_DN27712_c0_g1_i3,Tge_TRINITY_DN22908_c0_g3_i1,Tpa_TRINITY_DN130392_c3_g2_i1,Tms_TRINITY_DN19942_c0_g2_i1,Tdi_TRINITY_DN27141_c0_g1_i2,Tps_TRINITY_DN90994_c0_g1_i4,Tcm_TRINITY_DN59323_c0_g1_i1,Tte_TRINITY_DN23107_c0_g1_i1,Tbi_TRINITY_DN53590_c0_g1_i1,Tce_TRINITY_DN95265_c0_g1_i1
OG-1042,Tsi_TRINITY_DN14930_c1_g2_i1,Tge_TRINITY_DN40879_c0_g1_i1,Tpa_TRINITY_DN130904_c0_g1_i1,Tms_TRINITY_DN2863_c0_g1_i1,Tdi_TRINITY_DN20712_c0_g1_i1,Tps_TRINITY_DN87364_c0_g2_i1,Tcm_TRINITY_DN79799_c0_g1_i1,Tte_TRINITY_DN3940_c0_g1_i1,Tbi_TRINITY_DN62361_c0_g1_i2,Tce_TRINITY_DN75264_c0_g1_i1
OG-1043,Tsi_TRINITY_DN19729_c0_g2_i1,Tge_TRINITY_DN45956_c0_g1_i1,Tpa_TRINITY_DN134248_c0_g1_i2,Tms_TRINITY_DN16920_c0_g1_i1,Tdi_TRINITY_DN25751_c0_g1_i1,Tps_TRINITY_DN86132_c0_g2_i1,Tcm_TRINITY_DN90515_c0_g1_i1,Tte_TRINITY_DN15171_c0_g1_i1,Tbi_TRINITY_DN63062_c0_g1_i1,Tce_TRINITY_DN94150_c0_g1_i2
OG-1044,Tsi_TRINITY_DN23720_c0_g2_i1,Tge_TRINITY_DN40741_c0_g1_i1,Tpa_TRINITY_DN131309_c0_g1_i1,Tms_TRINITY_DN26572_c0_g1_i1,Tdi_TRINITY_DN26002_c0_g1_i1,Tps_TRINITY_DN85545_c0_g3_i6,Tcm_TRINITY_DN99741_c0_g1_i1,Tte_TRINITY_DN18713_c0_g1_i1,Tbi_TRINITY_DN67073_c0_g1_i2,Tce_TRINITY_DN91753_c0_g1_i3
OG-1045,Tsi_TRINITY_DN25779_c0_g2_i1,Tge_TRINITY_DN42048_c0_g1_i1,Tpa_TRINITY_DN140675_c1_g3_i1,Tms_TRINITY_DN72209_c0_g1_i1,Tdi_TRINITY_DN52083_c0_g1_i1,Tps_TRINITY_DN75022_c0_g1_i1,Tcm_TRINITY_DN101614_c4_g3_i4,Tte_TRINITY_DN5012_c0_g2_i1,Tbi_TRINITY_DN66927_c0_g1_i6,Tce_TRINITY_DN92850_c0_g1_i1
OG-1046,Tsi_TRINITY_DN9710_c0_g1_i1,Tge_TRINITY_DN45897_c0_g1_i1,Tpa_TRINITY_DN130550_c0_g1_i1,Tms_TRINITY_DN2667_c0_g1_i1,Tdi_TRINITY_DN16203_c0_g1_i1,Tps_TRINITY_DN68440_c0_g1_i1,Tcm_TRINITY_DN91007_c0_g1_i1,Tte_TRINITY_DN25848_c0_g1_i1,Tbi_TRINITY_DN50731_c0_g1_i2,Tce_TRINITY_DN73396_c0_g1_i1
OG-1047,Tsi_TRINITY_DN16610_c0_g1_i1,Tge_TRINITY_DN43418_c0_g1_i1,Tpa_TRINITY_DN133628_c1_g1_i1,Tms_TRINITY_DN27359_c0_g1_i1,Tdi_TRINITY_DN26398_c0_g1_i4,Tps_TRINITY_DN88541_c2_g2_i1,Tcm_TRINITY_DN92420_c0_g1_i2,Tte_TRINITY_DN12378_c0_g1_i1,Tbi_TRINITY_DN47918_c0_g1_i1,Tce_TRINITY_DN76209_c0_g1_i1
