Match_col,Tps,Tdi
RBBH-10096,Tps_TRINITY_DN90145_c0_g1_i2,Tdi_TRINITY_DN6748_c0_g1_i1
RBBH-10097,Tps_TRINITY_DN79477_c0_g1_i3,Tdi_TRINITY_DN30074_c0_g2_i1
RBBH-10098,Tps_TRINITY_DN79213_c0_g1_i1,Tdi_TRINITY_DN24142_c0_g1_i1
RBBH-10099,Tps_TRINITY_DN36404_c1_g1_i2,Tdi_TRINITY_DN46758_c0_g1_i1
RBBH-101,Tps_TRINITY_DN95704_c0_g1_i2,Tdi_TRINITY_DN31776_c0_g1_i1
RBBH-1010,Tps_TRINITY_DN70767_c0_g1_i1,Tdi_TRINITY_DN5773_c0_g2_i1
RBBH-10100,Tps_TRINITY_DN93056_c1_g1_i4,Tdi_TRINITY_DN29826_c0_g1_i1
RBBH-10101,Tps_TRINITY_DN92538_c0_g1_i3,Tdi_TRINITY_DN538_c0_g1_i1
RBBH-10102,Tps_TRINITY_DN95529_c0_g1_i1,Tdi_TRINITY_DN24218_c0_g1_i2
RBBH-10103,Tps_TRINITY_DN67953_c0_g1_i3,Tdi_TRINITY_DN30957_c1_g1_i3
RBBH-10104,Tps_TRINITY_DN93211_c1_g1_i6,Tdi_TRINITY_DN879_c0_g2_i1
RBBH-10105,Tps_TRINITY_DN83024_c0_g1_i1,Tdi_TRINITY_DN68536_c0_g1_i1
RBBH-10106,Tps_TRINITY_DN5415_c0_g1_i1,Tdi_TRINITY_DN52524_c0_g1_i1
RBBH-10107,Tps_TRINITY_DN87255_c2_g1_i1,Tdi_TRINITY_DN31369_c0_g1_i1
RBBH-10108,Tps_TRINITY_DN84405_c0_g1_i1,Tdi_TRINITY_DN46925_c0_g1_i1
RBBH-10109,Tps_TRINITY_DN89852_c6_g3_i1,Tdi_TRINITY_DN29313_c1_g1_i1
RBBH-1011,Tps_TRINITY_DN92473_c2_g1_i2,Tdi_TRINITY_DN13447_c0_g1_i1
RBBH-10111,Tps_TRINITY_DN86011_c0_g1_i1,Tdi_TRINITY_DN26853_c0_g2_i1
RBBH-10112,Tps_TRINITY_DN93043_c0_g1_i1,Tdi_TRINITY_DN45793_c0_g1_i1
RBBH-10113,Tps_TRINITY_DN92607_c0_g1_i1,Tdi_TRINITY_DN22464_c0_g2_i1
RBBH-10114,Tps_TRINITY_DN69101_c0_g1_i1,Tdi_TRINITY_DN18217_c0_g2_i1
RBBH-10117,Tps_TRINITY_DN94523_c1_g1_i1,Tdi_TRINITY_DN9902_c0_g1_i1
RBBH-10118,Tps_TRINITY_DN56754_c0_g1_i1,Tdi_TRINITY_DN35337_c0_g1_i1
RBBH-10119,Tps_TRINITY_DN73815_c0_g2_i2,Tdi_TRINITY_DN39868_c0_g1_i1
RBBH-10120,Tps_TRINITY_DN85578_c1_g1_i1,Tdi_TRINITY_DN28331_c0_g1_i1
RBBH-10121,Tps_TRINITY_DN94146_c2_g5_i1,Tdi_TRINITY_DN18190_c0_g1_i1
RBBH-10122,Tps_TRINITY_DN24175_c0_g1_i1,Tdi_TRINITY_DN49108_c0_g1_i1
RBBH-10123,Tps_TRINITY_DN89814_c0_g5_i1,Tdi_TRINITY_DN17136_c0_g1_i1
RBBH-10124,Tps_TRINITY_DN83474_c0_g1_i2,Tdi_TRINITY_DN31020_c1_g1_i1
RBBH-10125,Tps_TRINITY_DN91624_c4_g1_i2,Tdi_TRINITY_DN67446_c0_g1_i1
RBBH-10126,Tps_TRINITY_DN91972_c4_g1_i1,Tdi_TRINITY_DN42500_c0_g1_i1
RBBH-10127,Tps_TRINITY_DN93472_c5_g1_i1,Tdi_TRINITY_DN52292_c0_g1_i1
RBBH-10128,Tps_TRINITY_DN95842_c1_g4_i4,Tdi_TRINITY_DN28100_c0_g2_i1
RBBH-10129,Tps_TRINITY_DN93793_c0_g4_i1,Tdi_TRINITY_DN28133_c1_g3_i1
RBBH-1013,Tps_TRINITY_DN90901_c1_g1_i1,Tdi_TRINITY_DN33214_c0_g1_i1
RBBH-10130,Tps_TRINITY_DN40600_c0_g1_i1,Tdi_TRINITY_DN7522_c0_g1_i1
RBBH-10131,Tps_TRINITY_DN85384_c0_g2_i1,Tdi_TRINITY_DN31585_c0_g1_i1
RBBH-10132,Tps_TRINITY_DN95267_c3_g5_i1,Tdi_TRINITY_DN31392_c2_g1_i1
RBBH-10133,Tps_TRINITY_DN86302_c0_g1_i1,Tdi_TRINITY_DN23666_c0_g1_i1
RBBH-10134,Tps_TRINITY_DN93641_c0_g1_i1,Tdi_TRINITY_DN4468_c0_g2_i1
RBBH-10135,Tps_TRINITY_DN95288_c0_g1_i1,Tdi_TRINITY_DN30882_c0_g1_i1
RBBH-10136,Tps_TRINITY_DN55319_c0_g1_i1,Tdi_TRINITY_DN32280_c1_g1_i1
RBBH-10137,Tps_TRINITY_DN92957_c4_g3_i1,Tdi_TRINITY_DN70834_c0_g1_i1
RBBH-10138,Tps_TRINITY_DN86291_c0_g1_i1,Tdi_TRINITY_DN32280_c2_g1_i2
RBBH-10139,Tps_TRINITY_DN92367_c1_g1_i1,Tdi_TRINITY_DN8370_c0_g1_i1
RBBH-1014,Tps_TRINITY_DN92611_c0_g5_i6,Tdi_TRINITY_DN31053_c0_g1_i6
RBBH-10140,Tps_TRINITY_DN88849_c0_g2_i1,Tdi_TRINITY_DN2291_c0_g1_i1
RBBH-10141,Tps_TRINITY_DN88036_c0_g1_i6,Tdi_TRINITY_DN30914_c0_g2_i2
RBBH-10142,Tps_TRINITY_DN85834_c0_g1_i2,Tdi_TRINITY_DN21661_c0_g1_i1
RBBH-10143,Tps_TRINITY_DN56855_c0_g1_i1,Tdi_TRINITY_DN10565_c0_g1_i1
RBBH-10144,Tps_TRINITY_DN73561_c0_g1_i1,Tdi_TRINITY_DN21998_c0_g1_i1
RBBH-10147,Tps_TRINITY_DN81151_c0_g1_i2,Tdi_TRINITY_DN42205_c0_g1_i1
RBBH-10148,Tps_TRINITY_DN76552_c0_g1_i1,Tdi_TRINITY_DN991_c0_g1_i1
RBBH-10149,Tps_TRINITY_DN113834_c0_g1_i1,Tdi_TRINITY_DN42415_c0_g1_i1
RBBH-1015,Tps_TRINITY_DN92230_c4_g1_i1,Tdi_TRINITY_DN31852_c3_g4_i1
RBBH-10150,Tps_TRINITY_DN90303_c1_g1_i1,Tdi_TRINITY_DN29660_c0_g1_i1
RBBH-10151,Tps_TRINITY_DN85918_c3_g1_i1,Tdi_TRINITY_DN22863_c0_g1_i1
RBBH-10152,Tps_TRINITY_DN93197_c0_g3_i1,Tdi_TRINITY_DN31872_c0_g2_i2
RBBH-10153,Tps_TRINITY_DN83605_c0_g1_i1,Tdi_TRINITY_DN27101_c0_g1_i1
RBBH-10154,Tps_TRINITY_DN88398_c2_g1_i1,Tdi_TRINITY_DN67277_c0_g1_i1
RBBH-10156,Tps_TRINITY_DN88113_c0_g2_i1,Tdi_TRINITY_DN32502_c0_g1_i1
RBBH-10157,Tps_TRINITY_DN76300_c0_g1_i1,Tdi_TRINITY_DN14147_c0_g2_i1
RBBH-10158,Tps_TRINITY_DN90047_c0_g1_i2,Tdi_TRINITY_DN19696_c0_g1_i2
RBBH-10159,Tps_TRINITY_DN91214_c0_g3_i2,Tdi_TRINITY_DN30252_c0_g1_i3
RBBH-1016,Tps_TRINITY_DN90937_c0_g1_i1,Tdi_TRINITY_DN25077_c0_g1_i1
RBBH-10161,Tps_TRINITY_DN80269_c0_g1_i1,Tdi_TRINITY_DN40245_c0_g1_i1
RBBH-10162,Tps_TRINITY_DN84489_c2_g1_i1,Tdi_TRINITY_DN68312_c0_g1_i1
RBBH-10163,Tps_TRINITY_DN86593_c2_g1_i1,Tdi_TRINITY_DN24875_c0_g1_i1
RBBH-10164,Tps_TRINITY_DN78855_c1_g1_i1,Tdi_TRINITY_DN4487_c0_g1_i1
RBBH-10165,Tps_TRINITY_DN81111_c0_g1_i1,Tdi_TRINITY_DN53452_c0_g1_i1
RBBH-10167,Tps_TRINITY_DN93529_c1_g3_i1,Tdi_TRINITY_DN31486_c4_g10_i4
RBBH-10169,Tps_TRINITY_DN83885_c0_g1_i1,Tdi_TRINITY_DN2061_c0_g2_i1
RBBH-10170,Tps_TRINITY_DN82581_c0_g1_i1,Tdi_TRINITY_DN30539_c0_g1_i1
RBBH-10171,Tps_TRINITY_DN83184_c0_g1_i2,Tdi_TRINITY_DN46619_c0_g1_i1
RBBH-10172,Tps_TRINITY_DN77089_c1_g1_i3,Tdi_TRINITY_DN20094_c0_g1_i1
RBBH-10173,Tps_TRINITY_DN86091_c0_g1_i1,Tdi_TRINITY_DN26944_c0_g1_i1
RBBH-10174,Tps_TRINITY_DN70882_c0_g2_i1,Tdi_TRINITY_DN66056_c0_g1_i1
RBBH-10175,Tps_TRINITY_DN94075_c0_g1_i2,Tdi_TRINITY_DN28940_c0_g1_i1
RBBH-10176,Tps_TRINITY_DN62137_c0_g1_i3,Tdi_TRINITY_DN920_c0_g1_i1
RBBH-10177,Tps_TRINITY_DN91020_c1_g1_i1,Tdi_TRINITY_DN5417_c0_g1_i1
RBBH-10179,Tps_TRINITY_DN92957_c4_g7_i1,Tdi_TRINITY_DN31722_c3_g4_i2
RBBH-1018,Tps_TRINITY_DN94932_c5_g4_i1,Tdi_TRINITY_DN47267_c0_g1_i1
RBBH-10180,Tps_TRINITY_DN44826_c0_g1_i1,Tdi_TRINITY_DN36229_c0_g1_i1
RBBH-10181,Tps_TRINITY_DN75319_c1_g1_i1,Tdi_TRINITY_DN32733_c0_g1_i1
RBBH-10182,Tps_TRINITY_DN51910_c0_g1_i1,Tdi_TRINITY_DN69038_c0_g1_i1
RBBH-10184,Tps_TRINITY_DN93212_c1_g1_i1,Tdi_TRINITY_DN31746_c0_g2_i1
RBBH-10185,Tps_TRINITY_DN95161_c2_g7_i2,Tdi_TRINITY_DN31656_c0_g1_i2
RBBH-10186,Tps_TRINITY_DN96055_c5_g3_i3,Tdi_TRINITY_DN32270_c0_g1_i3
RBBH-10187,Tps_TRINITY_DN31539_c0_g1_i1,Tdi_TRINITY_DN7739_c0_g1_i1
RBBH-10188,Tps_TRINITY_DN81369_c0_g1_i1,Tdi_TRINITY_DN54155_c0_g1_i1
RBBH-10189,Tps_TRINITY_DN84430_c0_g1_i1,Tdi_TRINITY_DN67845_c0_g1_i1
RBBH-1019,Tps_TRINITY_DN86909_c0_g1_i1,Tdi_TRINITY_DN25906_c0_g1_i1
RBBH-10191,Tps_TRINITY_DN91422_c0_g2_i1,Tdi_TRINITY_DN31516_c0_g1_i1
RBBH-10192,Tps_TRINITY_DN92239_c0_g3_i1,Tdi_TRINITY_DN22834_c0_g2_i1
RBBH-10193,Tps_TRINITY_DN94519_c0_g1_i2,Tdi_TRINITY_DN23821_c0_g1_i5
RBBH-10194,Tps_TRINITY_DN75183_c0_g1_i1,Tdi_TRINITY_DN53298_c0_g1_i1
RBBH-10195,Tps_TRINITY_DN84911_c0_g1_i3,Tdi_TRINITY_DN30312_c0_g1_i1
RBBH-10196,Tps_TRINITY_DN49796_c0_g1_i1,Tdi_TRINITY_DN28324_c0_g1_i1
RBBH-10197,Tps_TRINITY_DN94024_c1_g1_i1,Tdi_TRINITY_DN29819_c0_g1_i1
RBBH-10198,Tps_TRINITY_DN92303_c0_g1_i11,Tdi_TRINITY_DN29672_c0_g2_i2
RBBH-10199,Tps_TRINITY_DN81703_c0_g1_i1,Tdi_TRINITY_DN60400_c0_g1_i1
RBBH-102,Tps_TRINITY_DN86943_c0_g1_i1,Tdi_TRINITY_DN23827_c0_g1_i1
RBBH-1020,Tps_TRINITY_DN87046_c0_g1_i1,Tdi_TRINITY_DN5735_c0_g1_i1
RBBH-10200,Tps_TRINITY_DN93449_c3_g1_i3,Tdi_TRINITY_DN28559_c0_g2_i1
RBBH-10201,Tps_TRINITY_DN85422_c0_g1_i1,Tdi_TRINITY_DN24272_c0_g1_i1
RBBH-10202,Tps_TRINITY_DN56116_c0_g2_i1,Tdi_TRINITY_DN67861_c0_g1_i1
RBBH-10203,Tps_TRINITY_DN77823_c0_g1_i2,Tdi_TRINITY_DN25390_c0_g1_i1
RBBH-10204,Tps_TRINITY_DN80458_c1_g1_i1,Tdi_TRINITY_DN56568_c0_g1_i1
RBBH-10206,Tps_TRINITY_DN80158_c1_g1_i1,Tdi_TRINITY_DN25981_c0_g1_i1
RBBH-10208,Tps_TRINITY_DN89396_c1_g1_i1,Tdi_TRINITY_DN7459_c0_g1_i1
RBBH-10209,Tps_TRINITY_DN92109_c0_g1_i3,Tdi_TRINITY_DN14996_c0_g2_i2
RBBH-1021,Tps_TRINITY_DN81195_c0_g2_i1,Tdi_TRINITY_DN7011_c0_g2_i1
RBBH-10210,Tps_TRINITY_DN78152_c0_g1_i1,Tdi_TRINITY_DN14627_c0_g1_i1
RBBH-10212,Tps_TRINITY_DN87317_c0_g1_i1,Tdi_TRINITY_DN46998_c0_g1_i1
RBBH-10213,Tps_TRINITY_DN78407_c0_g1_i1,Tdi_TRINITY_DN71762_c0_g1_i1
RBBH-10215,Tps_TRINITY_DN6102_c0_g1_i1,Tdi_TRINITY_DN33696_c0_g1_i1
RBBH-10216,Tps_TRINITY_DN77635_c0_g1_i1,Tdi_TRINITY_DN70125_c0_g1_i1
RBBH-10218,Tps_TRINITY_DN95010_c0_g2_i1,Tdi_TRINITY_DN66597_c0_g1_i1
RBBH-10219,Tps_TRINITY_DN87151_c0_g1_i1,Tdi_TRINITY_DN30496_c0_g1_i1
RBBH-10220,Tps_TRINITY_DN89720_c6_g4_i1,Tdi_TRINITY_DN35450_c0_g1_i1
RBBH-10221,Tps_TRINITY_DN86156_c0_g1_i2,Tdi_TRINITY_DN26697_c0_g1_i2
RBBH-10223,Tps_TRINITY_DN94250_c1_g1_i1,Tdi_TRINITY_DN31303_c10_g1_i2
RBBH-10224,Tps_TRINITY_DN88476_c0_g1_i1,Tdi_TRINITY_DN22803_c0_g1_i1
RBBH-10225,Tps_TRINITY_DN82179_c0_g1_i1,Tdi_TRINITY_DN18209_c0_g1_i1
RBBH-10226,Tps_TRINITY_DN70362_c1_g1_i1,Tdi_TRINITY_DN13954_c0_g1_i1
RBBH-10227,Tps_TRINITY_DN95648_c2_g4_i2,Tdi_TRINITY_DN31479_c1_g1_i1
RBBH-10228,Tps_TRINITY_DN89382_c4_g1_i1,Tdi_TRINITY_DN31398_c3_g1_i1
RBBH-1023,Tps_TRINITY_DN9290_c0_g1_i1,Tdi_TRINITY_DN35020_c0_g1_i1
RBBH-10230,Tps_TRINITY_DN27815_c0_g1_i1,Tdi_TRINITY_DN45639_c0_g1_i1
RBBH-10231,Tps_TRINITY_DN90773_c5_g1_i1,Tdi_TRINITY_DN28357_c0_g1_i1
RBBH-10232,Tps_TRINITY_DN95653_c2_g1_i2,Tdi_TRINITY_DN28415_c1_g1_i1
RBBH-10233,Tps_TRINITY_DN72017_c0_g1_i1,Tdi_TRINITY_DN22523_c0_g1_i1
RBBH-10234,Tps_TRINITY_DN89317_c5_g1_i5,Tdi_TRINITY_DN31877_c7_g2_i1
RBBH-10235,Tps_TRINITY_DN21184_c0_g1_i1,Tdi_TRINITY_DN4766_c0_g1_i1
RBBH-10236,Tps_TRINITY_DN20139_c0_g1_i1,Tdi_TRINITY_DN52327_c0_g1_i1
RBBH-10237,Tps_TRINITY_DN91844_c3_g1_i1,Tdi_TRINITY_DN32262_c0_g1_i1
RBBH-10239,Tps_TRINITY_DN84449_c0_g1_i1,Tdi_TRINITY_DN14987_c1_g1_i1
RBBH-1024,Tps_TRINITY_DN69000_c0_g1_i1,Tdi_TRINITY_DN67400_c0_g1_i1
RBBH-10240,Tps_TRINITY_DN83673_c1_g1_i1,Tdi_TRINITY_DN10860_c0_g1_i1
RBBH-10241,Tps_TRINITY_DN36342_c0_g2_i1,Tdi_TRINITY_DN56755_c0_g1_i1
RBBH-10242,Tps_TRINITY_DN74971_c0_g1_i1,Tdi_TRINITY_DN6987_c0_g1_i1
RBBH-10243,Tps_TRINITY_DN91761_c0_g1_i1,Tdi_TRINITY_DN20303_c0_g1_i1
RBBH-10244,Tps_TRINITY_DN93394_c2_g1_i1,Tdi_TRINITY_DN20454_c0_g1_i1
RBBH-10245,Tps_TRINITY_DN89402_c0_g1_i2,Tdi_TRINITY_DN1994_c0_g1_i1
RBBH-10246,Tps_TRINITY_DN70231_c1_g1_i1,Tdi_TRINITY_DN29097_c0_g2_i1
RBBH-10247,Tps_TRINITY_DN8780_c0_g1_i1,Tdi_TRINITY_DN66868_c0_g1_i1
