Match_col,Tte,Tbi
RBBH-10023,Tte_TRINITY_DN39813_c0_g1_i1,Tbi_TRINITY_DN15959_c0_g1_i1
RBBH-10024,Tte_TRINITY_DN2684_c0_g4_i1,Tbi_TRINITY_DN15386_c0_g2_i1
RBBH-10025,Tte_TRINITY_DN12742_c0_g1_i1,Tbi_TRINITY_DN59359_c0_g1_i1
RBBH-10026,Tte_TRINITY_DN16238_c0_g1_i1,Tbi_TRINITY_DN27662_c0_g1_i1
RBBH-10027,Tte_TRINITY_DN31312_c0_g1_i1,Tbi_TRINITY_DN69125_c0_g1_i1
RBBH-10028,Tte_TRINITY_DN24112_c0_g1_i1,Tbi_TRINITY_DN62154_c0_g1_i1
RBBH-10029,Tte_TRINITY_DN25022_c0_g1_i3,Tbi_TRINITY_DN48804_c0_g1_i2
RBBH-1003,Tte_TRINITY_DN11122_c1_g1_i1,Tbi_TRINITY_DN68058_c2_g1_i1
RBBH-10030,Tte_TRINITY_DN26991_c0_g1_i1,Tbi_TRINITY_DN70967_c6_g1_i1
RBBH-10031,Tte_TRINITY_DN78415_c0_g1_i1,Tbi_TRINITY_DN83513_c0_g1_i1
RBBH-10032,Tte_TRINITY_DN63885_c0_g1_i1,Tbi_TRINITY_DN47937_c0_g3_i1
RBBH-10033,Tte_TRINITY_DN19626_c0_g1_i1,Tbi_TRINITY_DN70417_c2_g1_i1
RBBH-10034,Tte_TRINITY_DN59581_c0_g1_i1,Tbi_TRINITY_DN21216_c0_g1_i1
RBBH-10035,Tte_TRINITY_DN11130_c0_g1_i1,Tbi_TRINITY_DN71864_c0_g2_i1
RBBH-10036,Tte_TRINITY_DN29490_c1_g1_i1,Tbi_TRINITY_DN60003_c0_g2_i1
RBBH-10037,Tte_TRINITY_DN72235_c0_g1_i1,Tbi_TRINITY_DN58841_c0_g1_i1
RBBH-10038,Tte_TRINITY_DN40661_c0_g1_i1,Tbi_TRINITY_DN104888_c0_g1_i1
RBBH-10039,Tte_TRINITY_DN25769_c0_g5_i1,Tbi_TRINITY_DN65988_c0_g1_i2
RBBH-1004,Tte_TRINITY_DN29144_c2_g2_i1,Tbi_TRINITY_DN48980_c0_g2_i1
RBBH-10040,Tte_TRINITY_DN27569_c1_g1_i1,Tbi_TRINITY_DN19393_c0_g2_i1
RBBH-10041,Tte_TRINITY_DN16816_c0_g1_i1,Tbi_TRINITY_DN67110_c6_g1_i1
RBBH-10042,Tte_TRINITY_DN52830_c0_g1_i1,Tbi_TRINITY_DN103215_c0_g1_i1
RBBH-10043,Tte_TRINITY_DN29172_c0_g3_i1,Tbi_TRINITY_DN69470_c0_g2_i3
RBBH-10044,Tte_TRINITY_DN25177_c0_g2_i1,Tbi_TRINITY_DN54254_c0_g1_i2
RBBH-10045,Tte_TRINITY_DN27778_c0_g2_i1,Tbi_TRINITY_DN69352_c0_g1_i4
RBBH-10046,Tte_TRINITY_DN12851_c0_g1_i1,Tbi_TRINITY_DN61793_c0_g2_i2
RBBH-10047,Tte_TRINITY_DN49418_c0_g1_i1,Tbi_TRINITY_DN49169_c0_g1_i1
RBBH-10048,Tte_TRINITY_DN43048_c0_g1_i1,Tbi_TRINITY_DN56836_c0_g1_i1
RBBH-10049,Tte_TRINITY_DN28995_c11_g2_i1,Tbi_TRINITY_DN66022_c1_g5_i3
RBBH-10050,Tte_TRINITY_DN29564_c13_g1_i1,Tbi_TRINITY_DN41304_c0_g1_i1
RBBH-10051,Tte_TRINITY_DN29532_c6_g4_i1,Tbi_TRINITY_DN7107_c0_g1_i1
RBBH-10052,Tte_TRINITY_DN72752_c0_g1_i1,Tbi_TRINITY_DN13950_c0_g1_i1
RBBH-10053,Tte_TRINITY_DN17330_c0_g1_i1,Tbi_TRINITY_DN71044_c1_g1_i1
RBBH-10054,Tte_TRINITY_DN23936_c0_g1_i1,Tbi_TRINITY_DN63575_c0_g1_i1
RBBH-10055,Tte_TRINITY_DN18476_c0_g1_i1,Tbi_TRINITY_DN71412_c13_g1_i1
RBBH-10056,Tte_TRINITY_DN28995_c5_g2_i1,Tbi_TRINITY_DN70611_c1_g3_i1
RBBH-10058,Tte_TRINITY_DN27617_c0_g1_i6,Tbi_TRINITY_DN60508_c0_g1_i2
RBBH-10059,Tte_TRINITY_DN1662_c0_g2_i1,Tbi_TRINITY_DN64223_c2_g1_i1
RBBH-10060,Tte_TRINITY_DN13686_c0_g2_i1,Tbi_TRINITY_DN72396_c9_g1_i1
RBBH-10061,Tte_TRINITY_DN24903_c0_g1_i1,Tbi_TRINITY_DN20518_c0_g1_i1
RBBH-10062,Tte_TRINITY_DN57357_c0_g1_i1,Tbi_TRINITY_DN29763_c0_g1_i1
RBBH-10063,Tte_TRINITY_DN41947_c0_g1_i1,Tbi_TRINITY_DN57323_c0_g1_i1
RBBH-10064,Tte_TRINITY_DN80642_c0_g1_i1,Tbi_TRINITY_DN41766_c1_g1_i1
RBBH-10067,Tte_TRINITY_DN24407_c0_g1_i1,Tbi_TRINITY_DN70885_c9_g3_i1
RBBH-10069,Tte_TRINITY_DN48246_c0_g1_i1,Tbi_TRINITY_DN33548_c0_g1_i1
RBBH-10071,Tte_TRINITY_DN17333_c0_g2_i1,Tbi_TRINITY_DN69186_c0_g1_i1
RBBH-10072,Tte_TRINITY_DN12928_c0_g1_i1,Tbi_TRINITY_DN70422_c13_g3_i1
RBBH-10074,Tte_TRINITY_DN9746_c0_g1_i1,Tbi_TRINITY_DN47878_c0_g1_i1
RBBH-10075,Tte_TRINITY_DN76520_c0_g1_i1,Tbi_TRINITY_DN9037_c0_g1_i1
RBBH-10076,Tte_TRINITY_DN29547_c0_g2_i1,Tbi_TRINITY_DN69423_c12_g5_i1
RBBH-10077,Tte_TRINITY_DN32211_c0_g1_i1,Tbi_TRINITY_DN24184_c0_g1_i1
RBBH-10078,Tte_TRINITY_DN66203_c0_g1_i1,Tbi_TRINITY_DN13497_c0_g1_i1
RBBH-10079,Tte_TRINITY_DN11720_c0_g2_i1,Tbi_TRINITY_DN52208_c0_g1_i2
RBBH-1008,Tte_TRINITY_DN65996_c0_g1_i1,Tbi_TRINITY_DN18573_c0_g2_i1
RBBH-10080,Tte_TRINITY_DN21347_c0_g1_i1,Tbi_TRINITY_DN71501_c4_g1_i2
RBBH-10081,Tte_TRINITY_DN28319_c2_g1_i1,Tbi_TRINITY_DN71420_c4_g1_i1
RBBH-10082,Tte_TRINITY_DN37256_c0_g1_i1,Tbi_TRINITY_DN71420_c2_g1_i1
RBBH-10083,Tte_TRINITY_DN75596_c0_g1_i1,Tbi_TRINITY_DN8549_c0_g1_i1
RBBH-10084,Tte_TRINITY_DN29336_c3_g7_i1,Tbi_TRINITY_DN69001_c1_g1_i1
RBBH-10085,Tte_TRINITY_DN657_c0_g1_i1,Tbi_TRINITY_DN71456_c0_g2_i1
RBBH-10087,Tte_TRINITY_DN74631_c0_g1_i1,Tbi_TRINITY_DN25364_c0_g2_i1
RBBH-10088,Tte_TRINITY_DN6787_c0_g1_i1,Tbi_TRINITY_DN23834_c0_g1_i1
RBBH-10089,Tte_TRINITY_DN75655_c0_g1_i1,Tbi_TRINITY_DN26719_c0_g1_i1
RBBH-1009,Tte_TRINITY_DN29660_c9_g4_i2,Tbi_TRINITY_DN72115_c9_g2_i6
RBBH-10090,Tte_TRINITY_DN23802_c0_g1_i1,Tbi_TRINITY_DN69380_c4_g9_i1
RBBH-10091,Tte_TRINITY_DN29099_c4_g1_i1,Tbi_TRINITY_DN69567_c0_g1_i1
RBBH-10092,Tte_TRINITY_DN12889_c0_g1_i1,Tbi_TRINITY_DN59862_c0_g2_i1
RBBH-10093,Tte_TRINITY_DN25771_c0_g1_i1,Tbi_TRINITY_DN67631_c0_g1_i1
RBBH-10095,Tte_TRINITY_DN42466_c0_g1_i1,Tbi_TRINITY_DN60436_c0_g1_i1
RBBH-10096,Tte_TRINITY_DN55623_c0_g1_i1,Tbi_TRINITY_DN52651_c0_g1_i1
RBBH-10097,Tte_TRINITY_DN56499_c0_g1_i1,Tbi_TRINITY_DN67394_c0_g1_i1
RBBH-10098,Tte_TRINITY_DN23152_c0_g1_i1,Tbi_TRINITY_DN66413_c1_g1_i1
RBBH-10099,Tte_TRINITY_DN29598_c7_g14_i1,Tbi_TRINITY_DN71827_c8_g18_i1
RBBH-101,Tte_TRINITY_DN29508_c0_g1_i1,Tbi_TRINITY_DN68303_c2_g1_i4
RBBH-10100,Tte_TRINITY_DN51361_c0_g1_i1,Tbi_TRINITY_DN45657_c1_g1_i1
RBBH-10101,Tte_TRINITY_DN29899_c2_g1_i2,Tbi_TRINITY_DN61320_c0_g2_i1
RBBH-10102,Tte_TRINITY_DN24356_c0_g1_i1,Tbi_TRINITY_DN49104_c0_g1_i1
RBBH-10103,Tte_TRINITY_DN8315_c0_g1_i1,Tbi_TRINITY_DN67646_c1_g1_i2
RBBH-10104,Tte_TRINITY_DN46617_c0_g1_i1,Tbi_TRINITY_DN12174_c0_g1_i1
RBBH-10105,Tte_TRINITY_DN71163_c0_g1_i1,Tbi_TRINITY_DN105956_c0_g1_i1
RBBH-10106,Tte_TRINITY_DN28124_c2_g2_i1,Tbi_TRINITY_DN70127_c2_g2_i1
RBBH-10107,Tte_TRINITY_DN64754_c0_g1_i1,Tbi_TRINITY_DN54879_c0_g1_i1
RBBH-10108,Tte_TRINITY_DN29937_c6_g5_i1,Tbi_TRINITY_DN62615_c1_g1_i1
RBBH-10110,Tte_TRINITY_DN29589_c6_g1_i2,Tbi_TRINITY_DN68919_c0_g1_i1
RBBH-10111,Tte_TRINITY_DN26991_c2_g1_i1,Tbi_TRINITY_DN63087_c0_g1_i1
RBBH-10112,Tte_TRINITY_DN11789_c0_g1_i1,Tbi_TRINITY_DN70426_c5_g1_i1
RBBH-10113,Tte_TRINITY_DN30078_c0_g1_i1,Tbi_TRINITY_DN32949_c0_g1_i1
RBBH-10114,Tte_TRINITY_DN29219_c5_g1_i1,Tbi_TRINITY_DN62142_c0_g1_i1
RBBH-10115,Tte_TRINITY_DN28019_c1_g1_i1,Tbi_TRINITY_DN71655_c8_g1_i1
RBBH-10116,Tte_TRINITY_DN29272_c0_g2_i1,Tbi_TRINITY_DN69513_c0_g4_i1
RBBH-10117,Tte_TRINITY_DN22787_c0_g1_i2,Tbi_TRINITY_DN69543_c0_g1_i3
RBBH-10118,Tte_TRINITY_DN8758_c0_g1_i1,Tbi_TRINITY_DN50861_c0_g1_i1
RBBH-10119,Tte_TRINITY_DN29037_c5_g2_i1,Tbi_TRINITY_DN68592_c4_g1_i1
RBBH-1012,Tte_TRINITY_DN63914_c0_g1_i1,Tbi_TRINITY_DN57056_c0_g1_i1
RBBH-10120,Tte_TRINITY_DN29523_c0_g2_i2,Tbi_TRINITY_DN72244_c0_g1_i2
RBBH-10121,Tte_TRINITY_DN27324_c5_g2_i1,Tbi_TRINITY_DN66817_c3_g1_i1
RBBH-10122,Tte_TRINITY_DN7236_c0_g2_i1,Tbi_TRINITY_DN29552_c0_g1_i1
RBBH-10123,Tte_TRINITY_DN7509_c0_g1_i1,Tbi_TRINITY_DN60843_c0_g2_i1
RBBH-10124,Tte_TRINITY_DN29416_c10_g1_i7,Tbi_TRINITY_DN70839_c5_g2_i4
RBBH-10125,Tte_TRINITY_DN21277_c0_g1_i4,Tbi_TRINITY_DN69903_c0_g1_i1
RBBH-10126,Tte_TRINITY_DN43959_c0_g1_i1,Tbi_TRINITY_DN71924_c4_g7_i1
RBBH-10127,Tte_TRINITY_DN20550_c0_g1_i1,Tbi_TRINITY_DN65898_c0_g1_i1
RBBH-10128,Tte_TRINITY_DN16410_c0_g1_i1,Tbi_TRINITY_DN48456_c0_g2_i4
RBBH-10129,Tte_TRINITY_DN10861_c0_g1_i1,Tbi_TRINITY_DN43567_c0_g1_i1
RBBH-1013,Tte_TRINITY_DN695_c0_g1_i1,Tbi_TRINITY_DN71936_c4_g2_i2
RBBH-10130,Tte_TRINITY_DN29387_c10_g1_i1,Tbi_TRINITY_DN47457_c0_g3_i1
RBBH-10131,Tte_TRINITY_DN26906_c0_g1_i3,Tbi_TRINITY_DN57868_c0_g1_i7
RBBH-10133,Tte_TRINITY_DN13927_c0_g1_i2,Tbi_TRINITY_DN40736_c0_g1_i1
RBBH-10135,Tte_TRINITY_DN29168_c0_g1_i2,Tbi_TRINITY_DN72172_c0_g4_i3
RBBH-10136,Tte_TRINITY_DN22804_c0_g2_i1,Tbi_TRINITY_DN61919_c0_g1_i1
RBBH-10137,Tte_TRINITY_DN57460_c0_g1_i1,Tbi_TRINITY_DN87310_c0_g1_i1
RBBH-10138,Tte_TRINITY_DN29283_c2_g11_i1,Tbi_TRINITY_DN70923_c0_g4_i4
RBBH-10139,Tte_TRINITY_DN56716_c0_g1_i1,Tbi_TRINITY_DN62886_c0_g1_i1
RBBH-1014,Tte_TRINITY_DN5482_c0_g1_i1,Tbi_TRINITY_DN70013_c4_g2_i1
RBBH-10140,Tte_TRINITY_DN5489_c0_g2_i1,Tbi_TRINITY_DN43461_c0_g1_i1
RBBH-10142,Tte_TRINITY_DN12469_c0_g1_i1,Tbi_TRINITY_DN70028_c0_g1_i1
RBBH-10143,Tte_TRINITY_DN10354_c0_g1_i1,Tbi_TRINITY_DN61943_c1_g1_i1
RBBH-10144,Tte_TRINITY_DN2986_c0_g1_i1,Tbi_TRINITY_DN18008_c0_g1_i1
RBBH-10145,Tte_TRINITY_DN49703_c0_g1_i1,Tbi_TRINITY_DN62093_c0_g1_i1
RBBH-10147,Tte_TRINITY_DN10430_c0_g1_i1,Tbi_TRINITY_DN57471_c0_g1_i1
RBBH-10148,Tte_TRINITY_DN28922_c7_g3_i2,Tbi_TRINITY_DN71292_c0_g1_i1
RBBH-10149,Tte_TRINITY_DN29264_c5_g4_i1,Tbi_TRINITY_DN69310_c0_g1_i1
RBBH-1015,Tte_TRINITY_DN29937_c3_g1_i1,Tbi_TRINITY_DN69299_c0_g1_i1
RBBH-10150,Tte_TRINITY_DN23583_c0_g1_i1,Tbi_TRINITY_DN65178_c0_g1_i2
RBBH-10151,Tte_TRINITY_DN25152_c1_g2_i1,Tbi_TRINITY_DN71495_c9_g1_i4
RBBH-10152,Tte_TRINITY_DN29411_c0_g1_i1,Tbi_TRINITY_DN69850_c2_g1_i1
RBBH-10153,Tte_TRINITY_DN17417_c0_g1_i1,Tbi_TRINITY_DN63112_c2_g1_i1
RBBH-10154,Tte_TRINITY_DN64380_c0_g1_i1,Tbi_TRINITY_DN34432_c0_g1_i1
RBBH-10156,Tte_TRINITY_DN10373_c0_g1_i1,Tbi_TRINITY_DN86331_c0_g6_i1
RBBH-10157,Tte_TRINITY_DN19493_c0_g3_i1,Tbi_TRINITY_DN52300_c0_g1_i1
RBBH-10158,Tte_TRINITY_DN31889_c0_g1_i1,Tbi_TRINITY_DN17519_c0_g1_i1
RBBH-10159,Tte_TRINITY_DN29256_c4_g1_i1,Tbi_TRINITY_DN70162_c1_g1_i2
RBBH-1016,Tte_TRINITY_DN24480_c0_g1_i1,Tbi_TRINITY_DN71343_c0_g1_i1
RBBH-10160,Tte_TRINITY_DN22039_c0_g4_i1,Tbi_TRINITY_DN70005_c5_g1_i1
RBBH-10161,Tte_TRINITY_DN19736_c0_g1_i2,Tbi_TRINITY_DN56401_c0_g1_i1
RBBH-10162,Tte_TRINITY_DN21651_c0_g1_i1,Tbi_TRINITY_DN72002_c5_g5_i1
RBBH-10163,Tte_TRINITY_DN7383_c0_g1_i1,Tbi_TRINITY_DN47259_c0_g1_i1
RBBH-10164,Tte_TRINITY_DN12774_c0_g1_i1,Tbi_TRINITY_DN56707_c0_g1_i2
RBBH-10165,Tte_TRINITY_DN24343_c0_g1_i1,Tbi_TRINITY_DN70036_c8_g1_i1
RBBH-10166,Tte_TRINITY_DN3177_c0_g2_i1,Tbi_TRINITY_DN58883_c0_g2_i1
RBBH-10167,Tte_TRINITY_DN55824_c0_g1_i1,Tbi_TRINITY_DN92557_c0_g1_i1
RBBH-10168,Tte_TRINITY_DN40448_c0_g2_i1,Tbi_TRINITY_DN69599_c0_g1_i1
RBBH-10169,Tte_TRINITY_DN11899_c0_g1_i1,Tbi_TRINITY_DN68816_c5_g1_i2
RBBH-1017,Tte_TRINITY_DN21958_c0_g1_i1,Tbi_TRINITY_DN56369_c1_g1_i1
RBBH-10170,Tte_TRINITY_DN54654_c0_g1_i1,Tbi_TRINITY_DN91738_c0_g1_i1
RBBH-10171,Tte_TRINITY_DN29657_c0_g1_i2,Tbi_TRINITY_DN71327_c0_g1_i1
RBBH-10172,Tte_TRINITY_DN48964_c0_g1_i1,Tbi_TRINITY_DN59643_c0_g2_i1
RBBH-10173,Tte_TRINITY_DN13626_c0_g1_i1,Tbi_TRINITY_DN66407_c0_g1_i1
RBBH-10174,Tte_TRINITY_DN29325_c3_g1_i1,Tbi_TRINITY_DN68526_c7_g1_i1
RBBH-10175,Tte_TRINITY_DN25202_c0_g3_i1,Tbi_TRINITY_DN53244_c0_g1_i1
RBBH-10176,Tte_TRINITY_DN29598_c7_g7_i1,Tbi_TRINITY_DN71827_c8_g5_i1
RBBH-10177,Tte_TRINITY_DN5360_c0_g1_i1,Tbi_TRINITY_DN58870_c0_g1_i1
RBBH-10178,Tte_TRINITY_DN29067_c9_g8_i2,Tbi_TRINITY_DN71772_c2_g3_i1
RBBH-10179,Tte_TRINITY_DN6184_c0_g2_i1,Tbi_TRINITY_DN67096_c1_g1_i2
RBBH-1018,Tte_TRINITY_DN56679_c0_g1_i1,Tbi_TRINITY_DN63863_c0_g1_i1
RBBH-10180,Tte_TRINITY_DN28709_c2_g2_i1,Tbi_TRINITY_DN70890_c6_g1_i4
RBBH-10181,Tte_TRINITY_DN17132_c0_g3_i1,Tbi_TRINITY_DN42820_c0_g1_i1
RBBH-10182,Tte_TRINITY_DN5610_c0_g1_i1,Tbi_TRINITY_DN13007_c0_g1_i1
RBBH-10183,Tte_TRINITY_DN13024_c0_g3_i1,Tbi_TRINITY_DN38528_c0_g1_i1
RBBH-10184,Tte_TRINITY_DN48360_c0_g1_i1,Tbi_TRINITY_DN70145_c2_g1_i1
RBBH-10185,Tte_TRINITY_DN28833_c1_g8_i1,Tbi_TRINITY_DN69967_c0_g1_i1
RBBH-10186,Tte_TRINITY_DN9262_c0_g1_i1,Tbi_TRINITY_DN63656_c0_g8_i1
RBBH-10187,Tte_TRINITY_DN29707_c2_g7_i2,Tbi_TRINITY_DN72015_c9_g2_i2
RBBH-10188,Tte_TRINITY_DN48766_c0_g1_i1,Tbi_TRINITY_DN13263_c0_g1_i1
RBBH-1019,Tte_TRINITY_DN53373_c0_g1_i1,Tbi_TRINITY_DN45522_c0_g1_i1
RBBH-10190,Tte_TRINITY_DN22700_c0_g3_i1,Tbi_TRINITY_DN69673_c0_g1_i1
RBBH-10191,Tte_TRINITY_DN10949_c0_g1_i1,Tbi_TRINITY_DN69097_c4_g1_i2
RBBH-10192,Tte_TRINITY_DN5183_c0_g1_i1,Tbi_TRINITY_DN71354_c2_g3_i1
RBBH-10193,Tte_TRINITY_DN26527_c1_g4_i2,Tbi_TRINITY_DN69784_c2_g1_i1
RBBH-10194,Tte_TRINITY_DN19849_c0_g1_i1,Tbi_TRINITY_DN64534_c0_g1_i2
RBBH-10195,Tte_TRINITY_DN31846_c0_g1_i1,Tbi_TRINITY_DN80367_c0_g1_i1
RBBH-10196,Tte_TRINITY_DN29567_c0_g1_i1,Tbi_TRINITY_DN4625_c0_g1_i1
RBBH-10197,Tte_TRINITY_DN26202_c0_g1_i1,Tbi_TRINITY_DN57591_c0_g1_i1
RBBH-10198,Tte_TRINITY_DN10418_c0_g1_i1,Tbi_TRINITY_DN69301_c2_g1_i1
RBBH-10199,Tte_TRINITY_DN29642_c0_g2_i1,Tbi_TRINITY_DN66796_c1_g2_i1
RBBH-102,Tte_TRINITY_DN50750_c0_g1_i1,Tbi_TRINITY_DN32050_c1_g1_i1
RBBH-10200,Tte_TRINITY_DN12755_c0_g1_i1,Tbi_TRINITY_DN41181_c0_g1_i1
RBBH-10201,Tte_TRINITY_DN21290_c0_g1_i1,Tbi_TRINITY_DN28243_c0_g1_i1
RBBH-10202,Tte_TRINITY_DN20030_c0_g2_i3,Tbi_TRINITY_DN71570_c0_g3_i2
RBBH-10203,Tte_TRINITY_DN6668_c0_g1_i1,Tbi_TRINITY_DN61026_c0_g1_i1
RBBH-10204,Tte_TRINITY_DN26732_c0_g1_i1,Tbi_TRINITY_DN71185_c3_g1_i1
RBBH-10205,Tte_TRINITY_DN23170_c0_g3_i1,Tbi_TRINITY_DN55208_c0_g1_i1
RBBH-10206,Tte_TRINITY_DN1406_c0_g1_i1,Tbi_TRINITY_DN40465_c0_g1_i1
RBBH-10207,Tte_TRINITY_DN49820_c0_g1_i1,Tbi_TRINITY_DN69193_c0_g1_i1
RBBH-10208,Tte_TRINITY_DN29397_c23_g1_i1,Tbi_TRINITY_DN103222_c0_g1_i1
RBBH-10209,Tte_TRINITY_DN28442_c21_g1_i1,Tbi_TRINITY_DN68683_c1_g1_i1
RBBH-1021,Tte_TRINITY_DN1934_c0_g1_i1,Tbi_TRINITY_DN32851_c0_g1_i1
RBBH-10210,Tte_TRINITY_DN346_c0_g1_i1,Tbi_TRINITY_DN57728_c1_g1_i1
RBBH-10211,Tte_TRINITY_DN29756_c10_g1_i1,Tbi_TRINITY_DN69132_c0_g14_i1
RBBH-10212,Tte_TRINITY_DN29635_c4_g1_i2,Tbi_TRINITY_DN67847_c0_g1_i1
RBBH-10213,Tte_TRINITY_DN29345_c3_g1_i1,Tbi_TRINITY_DN31489_c0_g1_i1
RBBH-10214,Tte_TRINITY_DN10349_c0_g1_i1,Tbi_TRINITY_DN95314_c0_g1_i1
RBBH-10215,Tte_TRINITY_DN29242_c6_g2_i1,Tbi_TRINITY_DN71530_c2_g4_i3
RBBH-10216,Tte_TRINITY_DN56218_c0_g1_i1,Tbi_TRINITY_DN63916_c0_g1_i1
RBBH-10217,Tte_TRINITY_DN26108_c0_g2_i1,Tbi_TRINITY_DN51436_c0_g1_i1
RBBH-10218,Tte_TRINITY_DN50298_c0_g1_i1,Tbi_TRINITY_DN54880_c1_g1_i1
RBBH-1022,Tte_TRINITY_DN56835_c0_g1_i1,Tbi_TRINITY_DN71056_c0_g3_i1
RBBH-10220,Tte_TRINITY_DN7818_c0_g1_i1,Tbi_TRINITY_DN8397_c0_g1_i1
RBBH-10221,Tte_TRINITY_DN14987_c0_g2_i1,Tbi_TRINITY_DN62091_c0_g1_i1
RBBH-10222,Tte_TRINITY_DN27452_c0_g1_i2,Tbi_TRINITY_DN67034_c0_g1_i2
RBBH-10223,Tte_TRINITY_DN68129_c0_g1_i1,Tbi_TRINITY_DN31469_c0_g1_i1
RBBH-10224,Tte_TRINITY_DN2940_c0_g2_i1,Tbi_TRINITY_DN52074_c0_g1_i1
RBBH-10226,Tte_TRINITY_DN25250_c1_g1_i1,Tbi_TRINITY_DN51699_c0_g1_i1
RBBH-10227,Tte_TRINITY_DN29233_c2_g2_i1,Tbi_TRINITY_DN71437_c10_g2_i1
RBBH-10228,Tte_TRINITY_DN45223_c0_g1_i1,Tbi_TRINITY_DN82545_c0_g1_i1
RBBH-10229,Tte_TRINITY_DN6458_c0_g2_i1,Tbi_TRINITY_DN15203_c0_g1_i1
RBBH-1023,Tte_TRINITY_DN21769_c1_g1_i1,Tbi_TRINITY_DN64406_c1_g1_i1
RBBH-10231,Tte_TRINITY_DN21914_c0_g2_i1,Tbi_TRINITY_DN41297_c0_g2_i1
RBBH-10232,Tte_TRINITY_DN21408_c0_g1_i1,Tbi_TRINITY_DN70278_c6_g1_i1
RBBH-10233,Tte_TRINITY_DN3734_c0_g2_i1,Tbi_TRINITY_DN68688_c0_g1_i2
RBBH-10235,Tte_TRINITY_DN29688_c5_g1_i1,Tbi_TRINITY_DN57725_c0_g1_i1
RBBH-10236,Tte_TRINITY_DN9941_c0_g1_i1,Tbi_TRINITY_DN67812_c0_g1_i1
RBBH-10237,Tte_TRINITY_DN15668_c0_g1_i1,Tbi_TRINITY_DN57461_c0_g1_i1
RBBH-10238,Tte_TRINITY_DN17505_c1_g1_i1,Tbi_TRINITY_DN62365_c0_g3_i1
RBBH-10239,Tte_TRINITY_DN29504_c4_g1_i2,Tbi_TRINITY_DN71051_c7_g1_i1
RBBH-1024,Tte_TRINITY_DN6337_c0_g1_i1,Tbi_TRINITY_DN46428_c0_g1_i1
RBBH-10240,Tte_TRINITY_DN24529_c0_g2_i1,Tbi_TRINITY_DN59367_c0_g1_i1
RBBH-10242,Tte_TRINITY_DN29673_c0_g2_i1,Tbi_TRINITY_DN69810_c0_g1_i1
RBBH-10243,Tte_TRINITY_DN18992_c0_g1_i1,Tbi_TRINITY_DN64971_c0_g1_i1
RBBH-10244,Tte_TRINITY_DN26832_c0_g2_i2,Tbi_TRINITY_DN53797_c0_g1_i1
RBBH-10245,Tte_TRINITY_DN29046_c3_g2_i1,Tbi_TRINITY_DN71915_c9_g1_i1
RBBH-10247,Tte_TRINITY_DN68257_c0_g1_i1,Tbi_TRINITY_DN44431_c0_g1_i1
