Match_col,Tsi,Tcm
RBBH-10053,Tsi_TRINITY_DN23200_c0_g1_i1,Tcm_TRINITY_DN101710_c1_g4_i2
RBBH-10055,Tsi_TRINITY_DN22747_c0_g2_i2,Tcm_TRINITY_DN98807_c0_g2_i4
RBBH-10056,Tsi_TRINITY_DN21837_c0_g1_i1,Tcm_TRINITY_DN101943_c0_g1_i1
RBBH-10057,Tsi_TRINITY_DN32047_c3_g4_i1,Tcm_TRINITY_DN107160_c0_g2_i1
RBBH-10058,Tsi_TRINITY_DN17764_c0_g1_i1,Tcm_TRINITY_DN89230_c0_g1_i1
RBBH-10059,Tsi_TRINITY_DN31011_c0_g1_i1,Tcm_TRINITY_DN106532_c1_g1_i4
RBBH-1006,Tsi_TRINITY_DN67293_c0_g1_i1,Tcm_TRINITY_DN81136_c0_g1_i1
RBBH-10060,Tsi_TRINITY_DN6542_c0_g1_i1,Tcm_TRINITY_DN101769_c0_g4_i1
RBBH-10061,Tsi_TRINITY_DN31204_c5_g2_i3,Tcm_TRINITY_DN102414_c4_g1_i2
RBBH-10062,Tsi_TRINITY_DN13938_c0_g1_i1,Tcm_TRINITY_DN82054_c0_g1_i1
RBBH-10063,Tsi_TRINITY_DN30472_c0_g18_i1,Tcm_TRINITY_DN82387_c0_g9_i1
RBBH-10065,Tsi_TRINITY_DN20413_c1_g1_i1,Tcm_TRINITY_DN101709_c0_g1_i2
RBBH-10066,Tsi_TRINITY_DN7693_c0_g1_i1,Tcm_TRINITY_DN96770_c7_g1_i1
RBBH-10067,Tsi_TRINITY_DN27639_c1_g1_i1,Tcm_TRINITY_DN102259_c5_g6_i1
RBBH-10068,Tsi_TRINITY_DN29249_c0_g1_i1,Tcm_TRINITY_DN105760_c1_g2_i1
RBBH-10069,Tsi_TRINITY_DN30285_c0_g1_i1,Tcm_TRINITY_DN105269_c3_g1_i2
RBBH-1007,Tsi_TRINITY_DN60104_c0_g1_i1,Tcm_TRINITY_DN103065_c0_g1_i1
RBBH-10070,Tsi_TRINITY_DN36785_c0_g3_i1,Tcm_TRINITY_DN82118_c1_g1_i2
RBBH-10073,Tsi_TRINITY_DN31970_c8_g2_i1,Tcm_TRINITY_DN102284_c1_g1_i2
RBBH-10074,Tsi_TRINITY_DN46018_c0_g1_i1,Tcm_TRINITY_DN98274_c0_g1_i1
RBBH-10075,Tsi_TRINITY_DN18651_c0_g1_i1,Tcm_TRINITY_DN99537_c2_g1_i2
RBBH-10076,Tsi_TRINITY_DN30086_c0_g1_i1,Tcm_TRINITY_DN93879_c0_g1_i2
RBBH-10077,Tsi_TRINITY_DN7959_c0_g1_i1,Tcm_TRINITY_DN103527_c0_g1_i1
RBBH-10079,Tsi_TRINITY_DN20598_c0_g1_i1,Tcm_TRINITY_DN107143_c6_g1_i5
RBBH-1008,Tsi_TRINITY_DN28686_c0_g2_i2,Tcm_TRINITY_DN104301_c1_g1_i2
RBBH-10080,Tsi_TRINITY_DN23070_c0_g1_i1,Tcm_TRINITY_DN102704_c2_g1_i1
RBBH-10081,Tsi_TRINITY_DN35413_c0_g1_i1,Tcm_TRINITY_DN82337_c0_g1_i1
RBBH-10082,Tsi_TRINITY_DN6437_c0_g1_i1,Tcm_TRINITY_DN99836_c0_g2_i2
RBBH-10083,Tsi_TRINITY_DN29935_c0_g2_i3,Tcm_TRINITY_DN106619_c0_g1_i1
RBBH-10084,Tsi_TRINITY_DN21558_c0_g1_i3,Tcm_TRINITY_DN101145_c0_g2_i2
RBBH-10085,Tsi_TRINITY_DN15616_c0_g3_i1,Tcm_TRINITY_DN99586_c0_g1_i1
RBBH-10086,Tsi_TRINITY_DN24358_c0_g1_i2,Tcm_TRINITY_DN103374_c0_g2_i3
RBBH-10087,Tsi_TRINITY_DN46885_c0_g1_i1,Tcm_TRINITY_DN44922_c0_g1_i1
RBBH-10088,Tsi_TRINITY_DN55679_c0_g1_i1,Tcm_TRINITY_DN98632_c5_g1_i1
RBBH-10089,Tsi_TRINITY_DN53469_c0_g1_i1,Tcm_TRINITY_DN99101_c0_g4_i1
RBBH-1009,Tsi_TRINITY_DN34623_c0_g1_i1,Tcm_TRINITY_DN96320_c0_g1_i1
RBBH-10090,Tsi_TRINITY_DN16844_c0_g1_i1,Tcm_TRINITY_DN107136_c1_g1_i2
RBBH-10092,Tsi_TRINITY_DN3683_c1_g1_i1,Tcm_TRINITY_DN89089_c2_g4_i2
RBBH-10093,Tsi_TRINITY_DN17417_c0_g1_i1,Tcm_TRINITY_DN107243_c1_g7_i1
RBBH-10094,Tsi_TRINITY_DN31510_c0_g1_i1,Tcm_TRINITY_DN107368_c1_g2_i1
RBBH-10095,Tsi_TRINITY_DN28713_c0_g3_i2,Tcm_TRINITY_DN101273_c0_g9_i1
RBBH-10096,Tsi_TRINITY_DN12513_c0_g2_i1,Tcm_TRINITY_DN105626_c8_g2_i1
RBBH-10097,Tsi_TRINITY_DN28567_c1_g1_i1,Tcm_TRINITY_DN101375_c1_g1_i1
RBBH-10099,Tsi_TRINITY_DN29168_c0_g2_i1,Tcm_TRINITY_DN96514_c1_g1_i1
RBBH-1010,Tsi_TRINITY_DN40272_c0_g1_i1,Tcm_TRINITY_DN103713_c1_g1_i2
RBBH-10100,Tsi_TRINITY_DN71648_c0_g1_i1,Tcm_TRINITY_DN65987_c0_g1_i1
RBBH-10101,Tsi_TRINITY_DN31060_c0_g3_i1,Tcm_TRINITY_DN104168_c0_g3_i1
RBBH-10102,Tsi_TRINITY_DN6259_c0_g1_i1,Tcm_TRINITY_DN53563_c0_g1_i1
RBBH-10103,Tsi_TRINITY_DN16966_c0_g2_i1,Tcm_TRINITY_DN98008_c0_g1_i1
RBBH-10104,Tsi_TRINITY_DN17254_c0_g1_i1,Tcm_TRINITY_DN106188_c1_g1_i2
RBBH-10105,Tsi_TRINITY_DN29276_c1_g1_i1,Tcm_TRINITY_DN91838_c0_g1_i3
RBBH-10106,Tsi_TRINITY_DN28860_c0_g3_i1,Tcm_TRINITY_DN106048_c1_g3_i9
RBBH-10107,Tsi_TRINITY_DN31913_c0_g2_i3,Tcm_TRINITY_DN105784_c0_g5_i5
RBBH-10108,Tsi_TRINITY_DN71296_c0_g1_i1,Tcm_TRINITY_DN83728_c0_g1_i1
RBBH-1011,Tsi_TRINITY_DN29013_c0_g1_i2,Tcm_TRINITY_DN107393_c0_g1_i3
RBBH-10110,Tsi_TRINITY_DN24740_c0_g1_i1,Tcm_TRINITY_DN79430_c0_g2_i1
RBBH-10111,Tsi_TRINITY_DN71006_c0_g1_i1,Tcm_TRINITY_DN106381_c1_g1_i1
RBBH-10113,Tsi_TRINITY_DN16581_c0_g1_i1,Tcm_TRINITY_DN103845_c0_g1_i1
RBBH-10114,Tsi_TRINITY_DN24466_c0_g1_i1,Tcm_TRINITY_DN98012_c0_g1_i2
RBBH-10115,Tsi_TRINITY_DN62546_c0_g1_i1,Tcm_TRINITY_DN97589_c0_g1_i1
RBBH-10116,Tsi_TRINITY_DN32654_c0_g1_i1,Tcm_TRINITY_DN84764_c0_g2_i1
RBBH-10117,Tsi_TRINITY_DN54648_c0_g1_i1,Tcm_TRINITY_DN98992_c0_g1_i1
RBBH-10118,Tsi_TRINITY_DN31807_c1_g1_i1,Tcm_TRINITY_DN104205_c0_g2_i3
RBBH-10119,Tsi_TRINITY_DN6779_c0_g2_i1,Tcm_TRINITY_DN103922_c0_g1_i1
RBBH-1012,Tsi_TRINITY_DN12454_c0_g1_i1,Tcm_TRINITY_DN90715_c1_g1_i1
RBBH-10121,Tsi_TRINITY_DN21982_c0_g1_i4,Tcm_TRINITY_DN91264_c0_g1_i1
RBBH-10122,Tsi_TRINITY_DN31597_c0_g2_i1,Tcm_TRINITY_DN96670_c0_g2_i2
RBBH-10123,Tsi_TRINITY_DN25508_c0_g1_i1,Tcm_TRINITY_DN95183_c0_g1_i1
RBBH-10124,Tsi_TRINITY_DN29637_c6_g1_i1,Tcm_TRINITY_DN108657_c0_g1_i1
RBBH-10125,Tsi_TRINITY_DN29468_c1_g1_i1,Tcm_TRINITY_DN89423_c0_g1_i1
RBBH-10127,Tsi_TRINITY_DN26943_c0_g1_i4,Tcm_TRINITY_DN103277_c1_g7_i1
RBBH-10128,Tsi_TRINITY_DN37163_c0_g1_i1,Tcm_TRINITY_DN80931_c0_g1_i1
RBBH-10129,Tsi_TRINITY_DN44380_c0_g1_i1,Tcm_TRINITY_DN102736_c1_g3_i2
RBBH-1013,Tsi_TRINITY_DN25743_c0_g1_i1,Tcm_TRINITY_DN100483_c1_g1_i1
RBBH-10130,Tsi_TRINITY_DN18451_c0_g1_i1,Tcm_TRINITY_DN94381_c1_g1_i6
RBBH-10131,Tsi_TRINITY_DN16010_c0_g1_i1,Tcm_TRINITY_DN98184_c0_g1_i1
RBBH-10133,Tsi_TRINITY_DN51352_c0_g1_i1,Tcm_TRINITY_DN82544_c0_g1_i1
RBBH-10134,Tsi_TRINITY_DN39291_c0_g1_i1,Tcm_TRINITY_DN58499_c0_g1_i1
RBBH-10135,Tsi_TRINITY_DN31445_c12_g1_i1,Tcm_TRINITY_DN103589_c5_g1_i1
RBBH-10136,Tsi_TRINITY_DN22246_c0_g1_i1,Tcm_TRINITY_DN106324_c0_g1_i3
RBBH-10138,Tsi_TRINITY_DN58133_c0_g1_i1,Tcm_TRINITY_DN106597_c0_g1_i1
RBBH-1014,Tsi_TRINITY_DN54659_c0_g1_i1,Tcm_TRINITY_DN100850_c0_g1_i1
RBBH-10140,Tsi_TRINITY_DN10861_c0_g1_i1,Tcm_TRINITY_DN76459_c0_g1_i1
RBBH-10141,Tsi_TRINITY_DN26008_c0_g1_i1,Tcm_TRINITY_DN99910_c0_g1_i2
RBBH-10142,Tsi_TRINITY_DN59743_c0_g1_i1,Tcm_TRINITY_DN98298_c2_g1_i1
RBBH-10143,Tsi_TRINITY_DN9584_c0_g1_i1,Tcm_TRINITY_DN103590_c0_g1_i1
RBBH-10145,Tsi_TRINITY_DN48301_c0_g1_i1,Tcm_TRINITY_DN95617_c0_g1_i1
RBBH-10146,Tsi_TRINITY_DN30247_c4_g1_i1,Tcm_TRINITY_DN84735_c1_g2_i1
RBBH-10147,Tsi_TRINITY_DN46019_c0_g1_i1,Tcm_TRINITY_DN91013_c1_g1_i1
RBBH-10148,Tsi_TRINITY_DN26043_c0_g1_i1,Tcm_TRINITY_DN99787_c3_g1_i2
RBBH-10149,Tsi_TRINITY_DN29945_c0_g6_i1,Tcm_TRINITY_DN101163_c0_g4_i1
RBBH-1015,Tsi_TRINITY_DN61084_c0_g1_i1,Tcm_TRINITY_DN66346_c0_g1_i1
RBBH-10150,Tsi_TRINITY_DN31021_c7_g7_i1,Tcm_TRINITY_DN103618_c3_g7_i1
RBBH-10151,Tsi_TRINITY_DN7092_c0_g1_i1,Tcm_TRINITY_DN97208_c0_g2_i1
RBBH-10152,Tsi_TRINITY_DN29519_c0_g1_i1,Tcm_TRINITY_DN103754_c0_g1_i1
RBBH-10153,Tsi_TRINITY_DN63457_c0_g1_i1,Tcm_TRINITY_DN106155_c3_g1_i2
RBBH-10155,Tsi_TRINITY_DN22810_c0_g1_i1,Tcm_TRINITY_DN99578_c0_g2_i1
RBBH-10156,Tsi_TRINITY_DN34481_c0_g1_i1,Tcm_TRINITY_DN105604_c0_g1_i1
RBBH-10157,Tsi_TRINITY_DN26497_c0_g1_i3,Tcm_TRINITY_DN104911_c0_g1_i4
RBBH-10158,Tsi_TRINITY_DN68406_c0_g1_i1,Tcm_TRINITY_DN78078_c0_g1_i1
RBBH-10159,Tsi_TRINITY_DN68071_c0_g1_i1,Tcm_TRINITY_DN100854_c3_g1_i2
RBBH-1016,Tsi_TRINITY_DN30814_c0_g1_i2,Tcm_TRINITY_DN104319_c0_g1_i5
RBBH-10160,Tsi_TRINITY_DN15050_c0_g2_i1,Tcm_TRINITY_DN85477_c0_g2_i1
RBBH-10161,Tsi_TRINITY_DN29253_c0_g1_i1,Tcm_TRINITY_DN106118_c0_g1_i1
RBBH-10162,Tsi_TRINITY_DN2414_c0_g1_i1,Tcm_TRINITY_DN99524_c0_g1_i1
RBBH-10163,Tsi_TRINITY_DN7933_c0_g1_i1,Tcm_TRINITY_DN57354_c0_g2_i1
RBBH-10164,Tsi_TRINITY_DN29640_c0_g4_i1,Tcm_TRINITY_DN70672_c0_g1_i1
RBBH-10165,Tsi_TRINITY_DN34347_c0_g1_i1,Tcm_TRINITY_DN97896_c0_g1_i2
RBBH-10166,Tsi_TRINITY_DN57248_c0_g1_i1,Tcm_TRINITY_DN85074_c0_g1_i1
RBBH-10167,Tsi_TRINITY_DN46397_c0_g1_i1,Tcm_TRINITY_DN100355_c0_g1_i1
RBBH-10169,Tsi_TRINITY_DN9319_c0_g1_i1,Tcm_TRINITY_DN99431_c2_g8_i1
RBBH-1017,Tsi_TRINITY_DN23904_c0_g2_i1,Tcm_TRINITY_DN105883_c0_g1_i1
RBBH-10170,Tsi_TRINITY_DN31746_c2_g1_i6,Tcm_TRINITY_DN103188_c0_g2_i2
RBBH-10171,Tsi_TRINITY_DN14198_c0_g1_i1,Tcm_TRINITY_DN104814_c0_g2_i1
RBBH-10172,Tsi_TRINITY_DN8305_c0_g1_i1,Tcm_TRINITY_DN104689_c0_g1_i1
RBBH-10173,Tsi_TRINITY_DN69060_c0_g1_i1,Tcm_TRINITY_DN84694_c1_g1_i1
RBBH-10174,Tsi_TRINITY_DN13024_c0_g1_i1,Tcm_TRINITY_DN97859_c0_g1_i1
RBBH-10175,Tsi_TRINITY_DN46020_c0_g1_i1,Tcm_TRINITY_DN102712_c0_g1_i6
RBBH-10176,Tsi_TRINITY_DN27316_c0_g1_i1,Tcm_TRINITY_DN83524_c0_g1_i1
RBBH-10178,Tsi_TRINITY_DN1833_c0_g2_i1,Tcm_TRINITY_DN105507_c1_g2_i1
RBBH-10179,Tsi_TRINITY_DN370_c0_g1_i1,Tcm_TRINITY_DN92323_c2_g1_i1
RBBH-1018,Tsi_TRINITY_DN13936_c0_g1_i1,Tcm_TRINITY_DN103949_c2_g2_i3
RBBH-10182,Tsi_TRINITY_DN16823_c0_g1_i1,Tcm_TRINITY_DN90557_c0_g1_i2
RBBH-10183,Tsi_TRINITY_DN67960_c0_g1_i1,Tcm_TRINITY_DN100068_c0_g1_i1
RBBH-10184,Tsi_TRINITY_DN15422_c0_g1_i1,Tcm_TRINITY_DN81847_c0_g3_i1
RBBH-10185,Tsi_TRINITY_DN32146_c2_g3_i1,Tcm_TRINITY_DN106902_c1_g2_i1
RBBH-10186,Tsi_TRINITY_DN31110_c0_g1_i1,Tcm_TRINITY_DN105496_c0_g1_i1
RBBH-10187,Tsi_TRINITY_DN72544_c0_g1_i1,Tcm_TRINITY_DN71693_c0_g1_i1
RBBH-10188,Tsi_TRINITY_DN31615_c4_g8_i1,Tcm_TRINITY_DN107561_c0_g1_i1
RBBH-10189,Tsi_TRINITY_DN24281_c0_g1_i1,Tcm_TRINITY_DN88777_c0_g1_i1
RBBH-1019,Tsi_TRINITY_DN24534_c0_g1_i1,Tcm_TRINITY_DN101137_c0_g1_i1
RBBH-10190,Tsi_TRINITY_DN46181_c0_g1_i1,Tcm_TRINITY_DN94814_c0_g1_i1
RBBH-10191,Tsi_TRINITY_DN34287_c0_g1_i1,Tcm_TRINITY_DN104380_c2_g1_i2
RBBH-10192,Tsi_TRINITY_DN21334_c0_g2_i1,Tcm_TRINITY_DN98635_c0_g1_i3
RBBH-10193,Tsi_TRINITY_DN26188_c0_g1_i1,Tcm_TRINITY_DN102641_c0_g1_i2
RBBH-10194,Tsi_TRINITY_DN31798_c4_g1_i2,Tcm_TRINITY_DN99728_c1_g1_i2
RBBH-10195,Tsi_TRINITY_DN27512_c0_g1_i1,Tcm_TRINITY_DN105400_c0_g2_i1
RBBH-10196,Tsi_TRINITY_DN30853_c7_g9_i2,Tcm_TRINITY_DN107653_c19_g10_i1
RBBH-10197,Tsi_TRINITY_DN31181_c1_g2_i2,Tcm_TRINITY_DN105704_c3_g3_i1
RBBH-10198,Tsi_TRINITY_DN29415_c3_g5_i1,Tcm_TRINITY_DN101322_c2_g2_i1
RBBH-10199,Tsi_TRINITY_DN23430_c0_g1_i2,Tcm_TRINITY_DN98225_c0_g1_i1
RBBH-102,Tsi_TRINITY_DN67236_c0_g1_i1,Tcm_TRINITY_DN97640_c0_g1_i1
RBBH-1020,Tsi_TRINITY_DN27893_c0_g1_i4,Tcm_TRINITY_DN104055_c0_g1_i2
RBBH-10200,Tsi_TRINITY_DN72996_c0_g1_i1,Tcm_TRINITY_DN103718_c3_g2_i1
RBBH-10201,Tsi_TRINITY_DN30517_c2_g2_i1,Tcm_TRINITY_DN105449_c8_g2_i3
RBBH-10202,Tsi_TRINITY_DN31747_c3_g12_i2,Tcm_TRINITY_DN99763_c2_g1_i2
RBBH-10203,Tsi_TRINITY_DN7995_c0_g1_i1,Tcm_TRINITY_DN97777_c0_g1_i2
RBBH-10204,Tsi_TRINITY_DN26143_c1_g3_i1,Tcm_TRINITY_DN99672_c4_g2_i1
RBBH-10205,Tsi_TRINITY_DN30002_c0_g1_i1,Tcm_TRINITY_DN87644_c0_g1_i1
RBBH-10206,Tsi_TRINITY_DN13671_c0_g1_i1,Tcm_TRINITY_DN99553_c1_g7_i3
RBBH-10207,Tsi_TRINITY_DN70915_c0_g1_i1,Tcm_TRINITY_DN79556_c0_g1_i1
RBBH-10208,Tsi_TRINITY_DN25743_c0_g2_i1,Tcm_TRINITY_DN96446_c0_g2_i5
RBBH-10209,Tsi_TRINITY_DN6864_c0_g1_i1,Tcm_TRINITY_DN94826_c2_g1_i1
RBBH-1021,Tsi_TRINITY_DN35440_c0_g1_i1,Tcm_TRINITY_DN83374_c0_g1_i2
RBBH-10210,Tsi_TRINITY_DN20958_c0_g1_i1,Tcm_TRINITY_DN104434_c0_g1_i1
RBBH-10211,Tsi_TRINITY_DN20584_c0_g1_i1,Tcm_TRINITY_DN105961_c0_g1_i1
RBBH-10212,Tsi_TRINITY_DN29372_c0_g1_i1,Tcm_TRINITY_DN80419_c0_g1_i1
RBBH-10214,Tsi_TRINITY_DN527_c0_g1_i1,Tcm_TRINITY_DN99755_c0_g1_i1
RBBH-10215,Tsi_TRINITY_DN18413_c0_g1_i1,Tcm_TRINITY_DN107368_c2_g1_i1
RBBH-10216,Tsi_TRINITY_DN30551_c2_g1_i2,Tcm_TRINITY_DN103399_c4_g3_i3
RBBH-10217,Tsi_TRINITY_DN6331_c0_g1_i1,Tcm_TRINITY_DN94166_c1_g1_i1
RBBH-10218,Tsi_TRINITY_DN26040_c0_g3_i1,Tcm_TRINITY_DN104610_c1_g1_i2
RBBH-10219,Tsi_TRINITY_DN30852_c1_g2_i1,Tcm_TRINITY_DN101045_c0_g1_i1
RBBH-1022,Tsi_TRINITY_DN33993_c0_g1_i1,Tcm_TRINITY_DN55213_c0_g1_i1
RBBH-10220,Tsi_TRINITY_DN69128_c0_g1_i1,Tcm_TRINITY_DN101002_c0_g1_i3
RBBH-10221,Tsi_TRINITY_DN2881_c0_g1_i1,Tcm_TRINITY_DN43184_c0_g2_i1
RBBH-10223,Tsi_TRINITY_DN25648_c0_g1_i3,Tcm_TRINITY_DN98997_c0_g2_i1
RBBH-10224,Tsi_TRINITY_DN29046_c3_g2_i1,Tcm_TRINITY_DN107272_c4_g1_i1
RBBH-10225,Tsi_TRINITY_DN23238_c0_g3_i1,Tcm_TRINITY_DN104179_c0_g1_i2
RBBH-10226,Tsi_TRINITY_DN9090_c0_g1_i1,Tcm_TRINITY_DN95564_c0_g1_i1
RBBH-10227,Tsi_TRINITY_DN59945_c0_g2_i1,Tcm_TRINITY_DN98920_c1_g4_i6
RBBH-10228,Tsi_TRINITY_DN7732_c0_g1_i1,Tcm_TRINITY_DN92961_c0_g1_i1
RBBH-10229,Tsi_TRINITY_DN6738_c0_g2_i1,Tcm_TRINITY_DN100564_c0_g1_i1
RBBH-1023,Tsi_TRINITY_DN22089_c0_g1_i1,Tcm_TRINITY_DN104650_c3_g1_i2
RBBH-10230,Tsi_TRINITY_DN3912_c0_g1_i1,Tcm_TRINITY_DN66717_c0_g1_i1
RBBH-10231,Tsi_TRINITY_DN26423_c0_g3_i1,Tcm_TRINITY_DN105930_c6_g1_i1
RBBH-10232,Tsi_TRINITY_DN31827_c5_g3_i5,Tcm_TRINITY_DN107499_c3_g1_i1
RBBH-10233,Tsi_TRINITY_DN54696_c0_g1_i1,Tcm_TRINITY_DN85918_c0_g1_i1
RBBH-10234,Tsi_TRINITY_DN30861_c0_g1_i3,Tcm_TRINITY_DN106179_c4_g12_i2
RBBH-10235,Tsi_TRINITY_DN15742_c0_g1_i2,Tcm_TRINITY_DN106366_c3_g2_i1
RBBH-10236,Tsi_TRINITY_DN18699_c0_g1_i1,Tcm_TRINITY_DN100689_c2_g1_i1
RBBH-10237,Tsi_TRINITY_DN31207_c3_g2_i1,Tcm_TRINITY_DN104760_c0_g2_i1
RBBH-10238,Tsi_TRINITY_DN31297_c1_g1_i1,Tcm_TRINITY_DN36933_c0_g1_i1
RBBH-10239,Tsi_TRINITY_DN11481_c0_g1_i1,Tcm_TRINITY_DN90468_c0_g1_i1
RBBH-1024,Tsi_TRINITY_DN29779_c0_g1_i1,Tcm_TRINITY_DN87531_c0_g1_i1
RBBH-10240,Tsi_TRINITY_DN36722_c0_g1_i1,Tcm_TRINITY_DN86175_c0_g1_i1
RBBH-10242,Tsi_TRINITY_DN72685_c0_g1_i1,Tcm_TRINITY_DN80821_c0_g1_i1
