Match_col,Tpa,Tge
RBBH-10050,Tpa_TRINITY_DN138711_c0_g1_i1,Tge_TRINITY_DN37828_c0_g1_i1
RBBH-10051,Tpa_TRINITY_DN45278_c0_g1_i1,Tge_TRINITY_DN74912_c0_g1_i1
RBBH-10052,Tpa_TRINITY_DN123039_c0_g1_i2,Tge_TRINITY_DN36094_c2_g1_i1
RBBH-10053,Tpa_TRINITY_DN128474_c2_g1_i3,Tge_TRINITY_DN42376_c0_g2_i1
RBBH-10054,Tpa_TRINITY_DN136009_c0_g4_i2,Tge_TRINITY_DN18452_c0_g1_i1
RBBH-10055,Tpa_TRINITY_DN131131_c0_g1_i2,Tge_TRINITY_DN19118_c0_g1_i1
RBBH-10056,Tpa_TRINITY_DN140773_c3_g1_i1,Tge_TRINITY_DN47445_c2_g1_i1
RBBH-10057,Tpa_TRINITY_DN141933_c0_g9_i3,Tge_TRINITY_DN46882_c4_g22_i1
RBBH-10058,Tpa_TRINITY_DN116914_c0_g1_i2,Tge_TRINITY_DN47251_c0_g1_i1
RBBH-10059,Tpa_TRINITY_DN123631_c0_g1_i3,Tge_TRINITY_DN37536_c0_g1_i1
RBBH-1006,Tpa_TRINITY_DN131832_c8_g1_i1,Tge_TRINITY_DN29182_c0_g1_i1
RBBH-10060,Tpa_TRINITY_DN128281_c4_g1_i3,Tge_TRINITY_DN47769_c1_g1_i4
RBBH-10062,Tpa_TRINITY_DN136878_c3_g2_i1,Tge_TRINITY_DN46572_c5_g4_i1
RBBH-10063,Tpa_TRINITY_DN125790_c0_g1_i1,Tge_TRINITY_DN41304_c0_g1_i2
RBBH-10064,Tpa_TRINITY_DN134343_c3_g1_i1,Tge_TRINITY_DN43184_c0_g1_i1
RBBH-10065,Tpa_TRINITY_DN136864_c8_g1_i2,Tge_TRINITY_DN41731_c0_g1_i1
RBBH-10066,Tpa_TRINITY_DN132951_c1_g3_i5,Tge_TRINITY_DN38517_c0_g1_i1
RBBH-10067,Tpa_TRINITY_DN125805_c0_g1_i2,Tge_TRINITY_DN17040_c0_g1_i1
RBBH-10068,Tpa_TRINITY_DN109989_c0_g1_i3,Tge_TRINITY_DN48075_c3_g1_i5
RBBH-10069,Tpa_TRINITY_DN126535_c2_g2_i1,Tge_TRINITY_DN50668_c0_g1_i1
RBBH-1007,Tpa_TRINITY_DN143249_c6_g13_i4,Tge_TRINITY_DN47069_c1_g2_i5
RBBH-10070,Tpa_TRINITY_DN129429_c2_g1_i1,Tge_TRINITY_DN47370_c5_g3_i1
RBBH-10071,Tpa_TRINITY_DN135377_c5_g1_i1,Tge_TRINITY_DN48051_c13_g7_i1
RBBH-10072,Tpa_TRINITY_DN136273_c0_g1_i1,Tge_TRINITY_DN39791_c0_g1_i1
RBBH-10073,Tpa_TRINITY_DN132590_c2_g2_i3,Tge_TRINITY_DN17968_c0_g1_i1
RBBH-10074,Tpa_TRINITY_DN122775_c0_g1_i1,Tge_TRINITY_DN44848_c0_g1_i2
RBBH-10075,Tpa_TRINITY_DN115931_c0_g1_i1,Tge_TRINITY_DN33502_c0_g1_i2
RBBH-10076,Tpa_TRINITY_DN132507_c0_g1_i1,Tge_TRINITY_DN2741_c0_g2_i1
RBBH-10077,Tpa_TRINITY_DN135905_c12_g2_i4,Tge_TRINITY_DN48068_c8_g7_i1
RBBH-10078,Tpa_TRINITY_DN111712_c0_g1_i1,Tge_TRINITY_DN20842_c0_g1_i1
RBBH-10079,Tpa_TRINITY_DN127448_c0_g2_i1,Tge_TRINITY_DN68566_c0_g1_i1
RBBH-1008,Tpa_TRINITY_DN140090_c0_g10_i2,Tge_TRINITY_DN14215_c0_g1_i1
RBBH-10080,Tpa_TRINITY_DN120013_c0_g2_i2,Tge_TRINITY_DN62707_c0_g1_i1
RBBH-10081,Tpa_TRINITY_DN132277_c0_g1_i7,Tge_TRINITY_DN46620_c12_g1_i1
RBBH-10082,Tpa_TRINITY_DN63172_c0_g1_i1,Tge_TRINITY_DN60832_c0_g1_i1
RBBH-10083,Tpa_TRINITY_DN135032_c0_g1_i1,Tge_TRINITY_DN34488_c0_g1_i1
RBBH-10084,Tpa_TRINITY_DN132494_c0_g1_i1,Tge_TRINITY_DN45840_c0_g1_i1
RBBH-10085,Tpa_TRINITY_DN129058_c0_g1_i1,Tge_TRINITY_DN47192_c2_g2_i4
RBBH-10086,Tpa_TRINITY_DN108603_c0_g1_i1,Tge_TRINITY_DN41025_c2_g1_i1
RBBH-10088,Tpa_TRINITY_DN140118_c1_g3_i7,Tge_TRINITY_DN45475_c0_g1_i4
RBBH-10089,Tpa_TRINITY_DN140755_c0_g1_i3,Tge_TRINITY_DN47843_c1_g2_i1
RBBH-1009,Tpa_TRINITY_DN132932_c3_g1_i2,Tge_TRINITY_DN35578_c0_g1_i1
RBBH-10090,Tpa_TRINITY_DN136654_c0_g4_i3,Tge_TRINITY_DN46413_c0_g1_i2
RBBH-10091,Tpa_TRINITY_DN128218_c0_g1_i1,Tge_TRINITY_DN69950_c0_g1_i1
RBBH-10093,Tpa_TRINITY_DN140357_c3_g3_i2,Tge_TRINITY_DN47324_c1_g1_i1
RBBH-10094,Tpa_TRINITY_DN134707_c0_g1_i1,Tge_TRINITY_DN31728_c0_g1_i1
RBBH-10095,Tpa_TRINITY_DN138972_c0_g9_i3,Tge_TRINITY_DN40563_c0_g1_i1
RBBH-10096,Tpa_TRINITY_DN133942_c1_g1_i1,Tge_TRINITY_DN38102_c0_g1_i1
RBBH-10097,Tpa_TRINITY_DN140038_c0_g2_i4,Tge_TRINITY_DN46942_c0_g1_i1
RBBH-10098,Tpa_TRINITY_DN134600_c3_g1_i2,Tge_TRINITY_DN46975_c0_g1_i1
RBBH-10099,Tpa_TRINITY_DN80882_c0_g1_i1,Tge_TRINITY_DN39673_c0_g1_i2
RBBH-101,Tpa_TRINITY_DN130314_c4_g1_i2,Tge_TRINITY_DN43042_c0_g3_i1
RBBH-1010,Tpa_TRINITY_DN126396_c0_g1_i2,Tge_TRINITY_DN44497_c0_g1_i2
RBBH-10100,Tpa_TRINITY_DN135856_c1_g1_i3,Tge_TRINITY_DN36936_c1_g1_i2
RBBH-10101,Tpa_TRINITY_DN139926_c0_g8_i1,Tge_TRINITY_DN40373_c0_g1_i1
RBBH-10102,Tpa_TRINITY_DN139525_c0_g1_i2,Tge_TRINITY_DN38069_c0_g1_i1
RBBH-10103,Tpa_TRINITY_DN139533_c0_g1_i2,Tge_TRINITY_DN43302_c0_g1_i1
RBBH-10105,Tpa_TRINITY_DN134915_c0_g1_i4,Tge_TRINITY_DN47334_c0_g1_i2
RBBH-10107,Tpa_TRINITY_DN121088_c0_g2_i1,Tge_TRINITY_DN36940_c0_g1_i1
RBBH-10108,Tpa_TRINITY_DN138529_c0_g2_i1,Tge_TRINITY_DN33316_c0_g1_i2
RBBH-10109,Tpa_TRINITY_DN142217_c3_g3_i1,Tge_TRINITY_DN46558_c0_g1_i1
RBBH-1011,Tpa_TRINITY_DN135449_c0_g1_i1,Tge_TRINITY_DN34851_c0_g1_i1
RBBH-10110,Tpa_TRINITY_DN139770_c1_g2_i1,Tge_TRINITY_DN31567_c0_g1_i1
RBBH-10111,Tpa_TRINITY_DN122030_c0_g1_i2,Tge_TRINITY_DN41437_c0_g1_i1
RBBH-10112,Tpa_TRINITY_DN118701_c0_g1_i1,Tge_TRINITY_DN42136_c0_g1_i1
RBBH-10113,Tpa_TRINITY_DN124822_c4_g5_i1,Tge_TRINITY_DN46785_c8_g1_i2
RBBH-10114,Tpa_TRINITY_DN138458_c2_g4_i5,Tge_TRINITY_DN46636_c0_g3_i1
RBBH-10115,Tpa_TRINITY_DN131078_c0_g2_i3,Tge_TRINITY_DN42303_c0_g1_i1
RBBH-10117,Tpa_TRINITY_DN136476_c0_g27_i1,Tge_TRINITY_DN13183_c0_g1_i1
RBBH-10118,Tpa_TRINITY_DN142659_c2_g2_i1,Tge_TRINITY_DN41377_c0_g1_i1
RBBH-10119,Tpa_TRINITY_DN130713_c3_g1_i2,Tge_TRINITY_DN10219_c0_g1_i1
RBBH-1012,Tpa_TRINITY_DN124664_c0_g2_i4,Tge_TRINITY_DN47122_c1_g1_i1
RBBH-10121,Tpa_TRINITY_DN143347_c1_g1_i1,Tge_TRINITY_DN44278_c0_g1_i7
RBBH-10122,Tpa_TRINITY_DN142155_c1_g8_i3,Tge_TRINITY_DN46156_c0_g1_i1
RBBH-10123,Tpa_TRINITY_DN139767_c0_g1_i1,Tge_TRINITY_DN45795_c2_g1_i1
RBBH-10124,Tpa_TRINITY_DN102265_c0_g1_i2,Tge_TRINITY_DN16825_c0_g1_i1
RBBH-10125,Tpa_TRINITY_DN122962_c0_g1_i1,Tge_TRINITY_DN44185_c0_g1_i1
RBBH-10126,Tpa_TRINITY_DN121633_c0_g1_i1,Tge_TRINITY_DN56075_c0_g1_i1
RBBH-10127,Tpa_TRINITY_DN81857_c0_g1_i1,Tge_TRINITY_DN64473_c0_g4_i1
RBBH-10128,Tpa_TRINITY_DN113998_c0_g1_i2,Tge_TRINITY_DN37744_c0_g1_i1
RBBH-10129,Tpa_TRINITY_DN136916_c0_g1_i2,Tge_TRINITY_DN38078_c0_g1_i1
RBBH-1013,Tpa_TRINITY_DN136325_c0_g1_i3,Tge_TRINITY_DN41383_c0_g1_i1
RBBH-10130,Tpa_TRINITY_DN142632_c3_g1_i5,Tge_TRINITY_DN14072_c0_g2_i1
RBBH-10131,Tpa_TRINITY_DN140394_c1_g2_i2,Tge_TRINITY_DN46868_c6_g1_i1
RBBH-10133,Tpa_TRINITY_DN142755_c0_g1_i2,Tge_TRINITY_DN47698_c7_g8_i2
RBBH-10134,Tpa_TRINITY_DN142949_c7_g1_i4,Tge_TRINITY_DN47380_c0_g1_i1
RBBH-10135,Tpa_TRINITY_DN141743_c1_g2_i6,Tge_TRINITY_DN47100_c0_g1_i1
RBBH-10136,Tpa_TRINITY_DN120088_c0_g1_i1,Tge_TRINITY_DN33644_c0_g1_i1
RBBH-10137,Tpa_TRINITY_DN131659_c0_g5_i1,Tge_TRINITY_DN2609_c0_g1_i1
RBBH-10138,Tpa_TRINITY_DN131545_c0_g2_i4,Tge_TRINITY_DN46936_c0_g1_i7
RBBH-10139,Tpa_TRINITY_DN130325_c0_g6_i2,Tge_TRINITY_DN46763_c4_g1_i1
RBBH-1014,Tpa_TRINITY_DN99652_c0_g1_i2,Tge_TRINITY_DN32765_c0_g1_i1
RBBH-10140,Tpa_TRINITY_DN139835_c0_g1_i3,Tge_TRINITY_DN46235_c0_g3_i1
RBBH-10142,Tpa_TRINITY_DN86530_c0_g1_i1,Tge_TRINITY_DN7694_c0_g1_i1
RBBH-10143,Tpa_TRINITY_DN137346_c2_g1_i2,Tge_TRINITY_DN9811_c0_g1_i1
RBBH-10144,Tpa_TRINITY_DN140190_c1_g1_i1,Tge_TRINITY_DN45454_c0_g1_i1
RBBH-10145,Tpa_TRINITY_DN140468_c2_g2_i1,Tge_TRINITY_DN40302_c0_g1_i1
RBBH-10147,Tpa_TRINITY_DN124181_c1_g1_i1,Tge_TRINITY_DN40922_c3_g1_i1
RBBH-10148,Tpa_TRINITY_DN136743_c1_g1_i2,Tge_TRINITY_DN46881_c1_g1_i1
RBBH-10149,Tpa_TRINITY_DN120184_c1_g1_i3,Tge_TRINITY_DN4921_c0_g1_i1
RBBH-1015,Tpa_TRINITY_DN130179_c0_g1_i1,Tge_TRINITY_DN40192_c0_g2_i2
RBBH-10150,Tpa_TRINITY_DN115893_c0_g1_i1,Tge_TRINITY_DN34449_c0_g2_i1
RBBH-10151,Tpa_TRINITY_DN133828_c1_g2_i2,Tge_TRINITY_DN19922_c0_g1_i1
RBBH-10152,Tpa_TRINITY_DN116807_c0_g1_i1,Tge_TRINITY_DN29097_c0_g1_i1
RBBH-10153,Tpa_TRINITY_DN123626_c0_g1_i5,Tge_TRINITY_DN47743_c0_g9_i6
RBBH-10154,Tpa_TRINITY_DN118287_c0_g1_i1,Tge_TRINITY_DN41916_c0_g1_i1
RBBH-10156,Tpa_TRINITY_DN126775_c2_g1_i6,Tge_TRINITY_DN36156_c0_g1_i1
RBBH-10157,Tpa_TRINITY_DN123877_c0_g2_i2,Tge_TRINITY_DN43125_c0_g1_i1
RBBH-10158,Tpa_TRINITY_DN141688_c1_g6_i3,Tge_TRINITY_DN37906_c0_g1_i1
RBBH-10159,Tpa_TRINITY_DN129436_c3_g3_i4,Tge_TRINITY_DN52216_c0_g1_i1
RBBH-1016,Tpa_TRINITY_DN136644_c2_g2_i1,Tge_TRINITY_DN43244_c2_g1_i1
RBBH-10160,Tpa_TRINITY_DN116917_c0_g1_i2,Tge_TRINITY_DN34769_c0_g1_i1
RBBH-10161,Tpa_TRINITY_DN133972_c0_g1_i4,Tge_TRINITY_DN34905_c1_g1_i1
RBBH-10162,Tpa_TRINITY_DN136686_c0_g1_i1,Tge_TRINITY_DN34459_c0_g1_i1
RBBH-10163,Tpa_TRINITY_DN109283_c0_g6_i1,Tge_TRINITY_DN29493_c0_g1_i1
RBBH-10164,Tpa_TRINITY_DN122101_c0_g2_i1,Tge_TRINITY_DN35929_c0_g1_i1
RBBH-10165,Tpa_TRINITY_DN134705_c1_g1_i1,Tge_TRINITY_DN43635_c0_g2_i3
RBBH-10166,Tpa_TRINITY_DN122232_c0_g3_i1,Tge_TRINITY_DN73761_c0_g1_i1
RBBH-10167,Tpa_TRINITY_DN142288_c3_g3_i2,Tge_TRINITY_DN48118_c1_g3_i9
RBBH-10168,Tpa_TRINITY_DN120970_c2_g1_i1,Tge_TRINITY_DN13197_c0_g1_i1
RBBH-10169,Tpa_TRINITY_DN106265_c0_g1_i1,Tge_TRINITY_DN37072_c0_g1_i1
RBBH-10170,Tpa_TRINITY_DN142515_c1_g1_i1,Tge_TRINITY_DN46452_c2_g3_i1
RBBH-10171,Tpa_TRINITY_DN128266_c1_g5_i1,Tge_TRINITY_DN39910_c2_g2_i1
RBBH-10172,Tpa_TRINITY_DN136038_c0_g1_i1,Tge_TRINITY_DN45772_c0_g1_i1
RBBH-10173,Tpa_TRINITY_DN127402_c9_g1_i1,Tge_TRINITY_DN32056_c0_g2_i1
RBBH-10174,Tpa_TRINITY_DN123628_c0_g1_i4,Tge_TRINITY_DN7160_c0_g1_i1
RBBH-10178,Tpa_TRINITY_DN142254_c0_g1_i2,Tge_TRINITY_DN45929_c0_g1_i1
RBBH-10179,Tpa_TRINITY_DN142292_c1_g3_i1,Tge_TRINITY_DN31234_c0_g1_i1
RBBH-1018,Tpa_TRINITY_DN117567_c0_g1_i1,Tge_TRINITY_DN20904_c0_g1_i1
RBBH-10180,Tpa_TRINITY_DN133584_c4_g1_i1,Tge_TRINITY_DN3524_c0_g1_i1
RBBH-10181,Tpa_TRINITY_DN140088_c3_g2_i6,Tge_TRINITY_DN46040_c0_g1_i1
RBBH-10182,Tpa_TRINITY_DN77079_c0_g1_i3,Tge_TRINITY_DN39500_c1_g1_i1
RBBH-10184,Tpa_TRINITY_DN130368_c0_g1_i1,Tge_TRINITY_DN28353_c0_g1_i1
RBBH-10185,Tpa_TRINITY_DN115938_c0_g1_i1,Tge_TRINITY_DN47805_c3_g9_i1
RBBH-10186,Tpa_TRINITY_DN76809_c0_g1_i1,Tge_TRINITY_DN49722_c0_g1_i1
RBBH-10187,Tpa_TRINITY_DN141917_c2_g1_i6,Tge_TRINITY_DN47310_c0_g1_i1
RBBH-10188,Tpa_TRINITY_DN122665_c1_g7_i1,Tge_TRINITY_DN30066_c0_g1_i1
RBBH-10189,Tpa_TRINITY_DN142794_c0_g4_i1,Tge_TRINITY_DN47161_c0_g1_i3
RBBH-1019,Tpa_TRINITY_DN139175_c0_g6_i1,Tge_TRINITY_DN40096_c0_g1_i2
RBBH-10191,Tpa_TRINITY_DN128231_c2_g3_i1,Tge_TRINITY_DN37599_c0_g1_i2
RBBH-10192,Tpa_TRINITY_DN138602_c0_g2_i5,Tge_TRINITY_DN45920_c0_g1_i1
RBBH-10193,Tpa_TRINITY_DN135547_c0_g1_i2,Tge_TRINITY_DN37138_c0_g1_i2
RBBH-10195,Tpa_TRINITY_DN130498_c0_g1_i1,Tge_TRINITY_DN18878_c0_g1_i1
RBBH-10196,Tpa_TRINITY_DN115051_c0_g1_i2,Tge_TRINITY_DN38922_c0_g2_i1
RBBH-10197,Tpa_TRINITY_DN139809_c0_g2_i3,Tge_TRINITY_DN9876_c0_g1_i1
RBBH-10198,Tpa_TRINITY_DN141581_c0_g13_i1,Tge_TRINITY_DN42692_c0_g1_i1
RBBH-10199,Tpa_TRINITY_DN124416_c0_g1_i1,Tge_TRINITY_DN30520_c0_g1_i1
RBBH-102,Tpa_TRINITY_DN142385_c1_g2_i1,Tge_TRINITY_DN47788_c0_g1_i1
RBBH-1020,Tpa_TRINITY_DN142067_c2_g1_i3,Tge_TRINITY_DN42262_c0_g1_i1
RBBH-10200,Tpa_TRINITY_DN139526_c20_g2_i1,Tge_TRINITY_DN26003_c0_g2_i1
RBBH-10201,Tpa_TRINITY_DN123977_c0_g1_i1,Tge_TRINITY_DN48031_c3_g1_i1
RBBH-10202,Tpa_TRINITY_DN139632_c0_g2_i1,Tge_TRINITY_DN40771_c0_g1_i1
RBBH-10203,Tpa_TRINITY_DN140285_c0_g1_i2,Tge_TRINITY_DN45219_c0_g1_i1
RBBH-10204,Tpa_TRINITY_DN127714_c0_g1_i1,Tge_TRINITY_DN69451_c0_g1_i1
RBBH-10205,Tpa_TRINITY_DN139174_c0_g1_i5,Tge_TRINITY_DN38589_c0_g1_i2
RBBH-10206,Tpa_TRINITY_DN97963_c0_g1_i1,Tge_TRINITY_DN33625_c0_g1_i1
RBBH-10207,Tpa_TRINITY_DN136062_c0_g8_i1,Tge_TRINITY_DN47172_c3_g4_i1
RBBH-10208,Tpa_TRINITY_DN126085_c0_g1_i5,Tge_TRINITY_DN33427_c0_g1_i1
RBBH-10209,Tpa_TRINITY_DN132076_c0_g2_i1,Tge_TRINITY_DN36993_c0_g1_i2
RBBH-1021,Tpa_TRINITY_DN143019_c0_g3_i2,Tge_TRINITY_DN47401_c2_g1_i4
RBBH-10210,Tpa_TRINITY_DN136062_c0_g4_i4,Tge_TRINITY_DN12975_c0_g2_i1
RBBH-10211,Tpa_TRINITY_DN143233_c1_g4_i1,Tge_TRINITY_DN46825_c0_g1_i2
RBBH-10212,Tpa_TRINITY_DN90172_c0_g1_i1,Tge_TRINITY_DN62034_c0_g1_i1
RBBH-10214,Tpa_TRINITY_DN125164_c0_g1_i1,Tge_TRINITY_DN45583_c3_g2_i1
RBBH-10215,Tpa_TRINITY_DN128812_c8_g2_i7,Tge_TRINITY_DN46971_c3_g1_i1
RBBH-10216,Tpa_TRINITY_DN141768_c0_g1_i3,Tge_TRINITY_DN46919_c0_g1_i2
RBBH-10217,Tpa_TRINITY_DN125002_c0_g1_i3,Tge_TRINITY_DN526_c0_g1_i1
RBBH-10218,Tpa_TRINITY_DN87392_c0_g1_i1,Tge_TRINITY_DN79425_c0_g1_i1
RBBH-10219,Tpa_TRINITY_DN113079_c0_g1_i2,Tge_TRINITY_DN14134_c0_g1_i1
RBBH-1022,Tpa_TRINITY_DN107290_c0_g1_i1,Tge_TRINITY_DN48316_c0_g1_i1
RBBH-10220,Tpa_TRINITY_DN142560_c0_g1_i4,Tge_TRINITY_DN45520_c3_g1_i2
RBBH-10221,Tpa_TRINITY_DN142960_c0_g2_i3,Tge_TRINITY_DN40573_c0_g1_i2
RBBH-10223,Tpa_TRINITY_DN124725_c0_g1_i4,Tge_TRINITY_DN33663_c0_g2_i1
RBBH-10225,Tpa_TRINITY_DN128119_c0_g1_i2,Tge_TRINITY_DN47860_c11_g3_i1
RBBH-10226,Tpa_TRINITY_DN118411_c0_g1_i1,Tge_TRINITY_DN46137_c4_g1_i1
RBBH-10227,Tpa_TRINITY_DN121092_c1_g1_i1,Tge_TRINITY_DN61866_c0_g1_i1
RBBH-10228,Tpa_TRINITY_DN141154_c0_g4_i4,Tge_TRINITY_DN39533_c0_g1_i1
RBBH-1023,Tpa_TRINITY_DN117126_c0_g1_i1,Tge_TRINITY_DN52481_c0_g1_i1
RBBH-10230,Tpa_TRINITY_DN136383_c0_g1_i2,Tge_TRINITY_DN48088_c9_g3_i1
RBBH-10231,Tpa_TRINITY_DN130830_c0_g1_i2,Tge_TRINITY_DN44619_c0_g1_i4
RBBH-10232,Tpa_TRINITY_DN139100_c1_g5_i1,Tge_TRINITY_DN46098_c2_g2_i2
RBBH-10233,Tpa_TRINITY_DN130480_c3_g1_i2,Tge_TRINITY_DN44366_c0_g1_i1
RBBH-10234,Tpa_TRINITY_DN138074_c3_g1_i3,Tge_TRINITY_DN38295_c0_g1_i2
RBBH-10235,Tpa_TRINITY_DN127060_c0_g1_i14,Tge_TRINITY_DN46322_c2_g1_i2
RBBH-10236,Tpa_TRINITY_DN103339_c0_g1_i1,Tge_TRINITY_DN55221_c0_g1_i1
RBBH-10237,Tpa_TRINITY_DN108484_c0_g1_i1,Tge_TRINITY_DN81009_c0_g2_i1
RBBH-10238,Tpa_TRINITY_DN122132_c0_g1_i1,Tge_TRINITY_DN32358_c0_g1_i1
RBBH-10239,Tpa_TRINITY_DN141972_c0_g1_i1,Tge_TRINITY_DN54673_c0_g1_i1
RBBH-10240,Tpa_TRINITY_DN115335_c0_g1_i1,Tge_TRINITY_DN4594_c0_g1_i1
RBBH-10241,Tpa_TRINITY_DN142437_c1_g2_i1,Tge_TRINITY_DN41935_c0_g1_i2
RBBH-10242,Tpa_TRINITY_DN129670_c1_g1_i2,Tge_TRINITY_DN14516_c0_g1_i1
RBBH-10243,Tpa_TRINITY_DN136369_c0_g1_i1,Tge_TRINITY_DN47083_c15_g4_i2
RBBH-10244,Tpa_TRINITY_DN141040_c2_g2_i2,Tge_TRINITY_DN47737_c1_g2_i1
